"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"
"feces__J413"	0.273795888387579	-0.0642329021525314	0.408433864094106	-0.0423234642255732	0.234003121198651	-0.117277102160641	-0.13064282841311	0.250174012805129	-0.0727781080615281	0.190809775866564	-0.026120466163324	-0.0384707240370456	-0.0217708509897569	-0.0529360841942194	0.00391235304890132	-0.0485970565782187	0.0859542181345225	-0.0626927285199887	-0.121738349394933
"feces__J414"	-0.0821805451496682	0.183822849674856	0.209524109744958	-0.120075542527957	-0.291226928975995	0.0101479886271794	0.381204739753517	-0.00596561654937746	-0.0982856971172811	-0.18164051266861	0.180550889436701	0.139596007860519	-0.147243158450216	0.060911235041467	0.127399493916028	-0.0832038926493501	-0.0175100440165984	0.101353460122563	-0.16651473319752
"feces__J415"	0.0912223026462152	0.0545186394518677	-0.0218655496357304	0.0225436969349825	-0.228393937437491	-0.111844784824483	-0.146673144770531	-0.0299619904600387	0.063530389854088	-0.157059099056994	-0.0581199348301082	0.126231728877466	0.16780085028636	-0.480283886448583	-0.0222729724303189	-0.161187103248801	-0.0775782102659094	0.151883506741543	0.261856689493837
"feces__J416"	-0.0977423685240992	0.118905025868078	0.0558778007976211	-0.0704505656904357	0.132368293144209	0.00639706737301022	0.222212193339742	0.211594282738055	-0.327165814005215	-0.316999163073441	0.181500156153062	0.1147762453695	-0.246909767416158	-0.0449237903790747	-0.223735887282306	0.186090589921343	-0.089492448715639	0.193509092404516	-0.0104102369213079
"feces__J417"	-0.0835720052122762	-0.167508391321537	0.102404332475135	-0.249734364098628	0.159482287072629	0.192245099262788	-0.108751096975178	-0.0165584968354151	0.250275247769918	-0.0440269202369123	0.145127479834792	-0.0629486166592159	0.0763852459208892	-0.19373260493388	0.0383734081983572	0.118331581496276	-0.066792021668474	-0.126988303545631	0.104352932772711
"feces__J418"	0.0860037507226717	-0.0425551762343094	0.156863554180662	0.204633564866601	-0.0610422766573494	-0.0298589896004111	-0.0917671218824167	0.164005150005418	0.11864827168951	-0.0851012125854811	0.384145939568663	0.0890688418585473	0.0796047363826229	0.00728614003064988	-0.146451798863325	-0.0244416971176888	0.0277392978916666	0.040919230191266	0.312911948294446
"feces__J419"	0.158461172763989	0.25704480960694	0.0383446398605384	0.1750453297357	-0.065793743601801	-0.132918348916367	0.0203653967320573	0.105848340190888	-0.297741695690295	0.256906105398943	-0.0344139249318474	-0.051367957904148	-0.0333185340180966	-0.0235761167448044	-0.0205468505819849	-0.204045590102413	-0.163296678270476	0.079025323537618	0.0292274852447738
"feces__J420"	0.134707035713094	0.184805946375204	-0.112328694723569	0.226490241999443	0.000940924031828102	0.0159602247193709	-0.235558002738553	-0.0305910745307266	0.0847918869329262	0.113760134135523	0.383036443337349	0.186467036419914	-0.042404430101459	-0.160892161872903	0.0241964436139015	0.189866095833688	0.118956477124431	0.0207606267476987	-0.0811826984157739
"feces__J421"	-0.0744720546300569	0.0967266199701694	0.175270561679302	0.175413338898551	0.214603743001433	0.126789220262605	0.0136130161154566	-0.206200692628013	0.0561023884639964	-0.147829024471628	0.0398535763073613	0.0360857690527623	0.0335890199163653	-0.116447767185007	0.344133329654217	-0.0470425211331625	-0.150568222564641	-0.042906503740675	-0.20552146354529
"feces__J422"	0.0688378365598889	0.0606374674746361	0.284059759155435	-0.275101585505532	0.106484670509483	-0.155639231997517	0.141567973366149	-0.119342226315305	0.00958441276985625	0.0703041899199433	-0.0325684328207365	-0.239633514350283	0.0839182607582412	-0.17155519134288	0.0709792590558573	0.05348986922538	-0.0627342728396918	0.0659303252288369	0.211821130435621
