"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"
"feces__J411"	-0.146875912684694	-0.296935996296654	-0.301392518938186	0.0861701035187814	-0.0348060320837022	0.0338038152908451	-0.0390786491674522	0.0222375071452954	0.167300137045546	-0.0817690607735913	0.218907134574813	0.0726335297106277	-0.0190872147365058	-0.128534266842991	-0.156068101016282	-0.211994900365405	0.0452881039595302	-0.128985878692756	0.0382454090608755	0.0670083883565537	0.115300785198661	-0.175870812799587	0.262119384074121	0.122073555283678	0.280185940654509	0.00554201737947132	-0.166073439033902	0.140410729358378	0.0510020346676432	0.0797018111865006	-0.0453201450293807	0.329053233118037	-0.099287951734668	0.0310189425755039	0.240683999099673	-0.144659950742321
"feces__J412"	0.128214277731912	-0.105062887690885	-0.0222185769197669	0.0538254694451454	-0.0910264878849541	0.0634096355454768	-0.0609944295362558	-0.124194176726472	-0.0882850584677698	-0.225715604682879	0.202316066949131	-0.283011812692555	0.169977497460259	0.0268663922265112	0.104231799570455	0.0321567186516868	-0.042641168782246	-0.204556554603044	0.282828480210402	0.0309590061920452	0.00365039378083076	0.0402472060396674	-0.140417166229082	-0.0693732616213565	-0.169117222821818	-0.00538793072025406	0.146644567302251	0.197509252344368	0.1293175950909	0.41768718169923	-0.0209491176408847	-0.0181621330097453	-0.0895573286039139	0.02002843029286	0.21207256878105	-0.103599954656523
"feces__J413"	0.236951698512683	0.0386900597949309	0.0968592999402785	-0.324134013033558	0.350740140873065	0.190568810139644	0.152995332536385	-0.25130739411493	-0.040933653856167	-0.181201657637771	-0.0687730221580172	0.105025306165187	-0.0391059329233785	-0.0209709198439486	0.0675186537624964	0.0823952738426512	-0.236119846874422	-0.0201471507437452	-0.0674351569056557	0.149470468703109	-0.0205892048324173	-0.00220192524590932	-0.0508765736891771	0.133042070745684	0.0292370244356712	0.0641106080910966	-0.109333148311715	0.0143922958560248	0.047027266045225	0.00357381425309387	0.160649291334176	0.106654603732566	-0.177333596562342	0.0169019562944457	0.0305555095919072	0.0802854074790417
"feces__J414"	0.0438766647744384	-0.0907645979404861	0.189232825577605	-0.000723841911380952	-0.107235180267893	-0.242498768079518	0.0337175297199855	0.117984875050817	0.217535698381984	0.0075804138427852	0.00948396752769515	-0.0640797018516976	0.3099718763084	0.257128546194014	0.0805102530148391	-0.111517839698322	-0.185232067910678	-0.113972662321415	0.0295640559343164	-0.227192115597525	0.0963258029311282	0.0282068625165384	-0.139937980551264	0.222737635959486	-0.07620887916102	0.0674795727041977	-0.0975310346562376	0.00777260570875726	-0.37109573882675	0.00507223709813293	0.0126714061768063	0.21170286611224	-0.17788308646977	-0.256728615414838	-0.0650870025959859	0.318341050217866
"feces__J415"	0.15942142730936	-0.0871621142278568	0.0658150790726271	0.0758979795434871	-0.119954199328185	-0.118559271464863	0.216206873762513	0.0379396592028367	-0.109136319320865	0.164388365144724	-0.079727451244205	0.165261262736041	-0.0559110383501444	0.207745319652289	-0.435992136453537	0.309547988915102	0.105914398352953	0.0397239740941619	0.216516479969492	-0.137424482911617	-0.0872217992216124	0.191452707344407	-0.0551909809171291	-0.135953691350569	0.283830698766795	-0.0571375482990371	0.0107052602152657	0.188792562501299	0.177819645149088	-0.0784645286041102	0.194265344700123	0.0418877918888544	-0.171394189976315	-0.206018661839956	0.0433922757860588	-0.0601466945200716
"feces__J416"	-0.262337038250009	0.013306162340211	0.00680463883709741	-0.149644965436761	0.144635805112851	-0.0831843402419451	0.212408316966401	-0.369060537446366	0.0885725479179953	-0.00970241688883894	0.221267344130214	0.0285809753925001	0.0429487639122476	-0.0624531951327095	-0.113766131581241	-0.13692422034983	-0.080398163990497	0.0359057994653774	-0.123689832931113	-0.350310864230276	-0.0461355074509021	0.0542019999277305	-0.0703749200307719	0.117343519865974	0.189648828850871	-0.169138241756162	0.191057161213206	-0.119855463104609	0.0523557323759792	0.255754719506057	0.0470577417722836	-0.205585949252396	0.244155297113396	-0.00550683368760103	-0.159386064052966	0.0362941874921502
"feces__J417"	-0.108116445829849	0.304707648009533	-0.112531778674532	-0.308343068039954	-0.0366526405374977	-0.104572772744711	0.284144159832614	0.202124647557136	-0.0142060248480676	0.0605328972444765	0.180118725117301	-0.114477754797827	0.148852652279347	-0.0420065843640284	-0.228930357116442	-0.119134023084873	-0.125745276206621	0.0699479832998999	-0.0630620974736281	0.178020495484297	-0.120932072144082	0.101622193559076	0.0401194716978484	0.00798148634155253	0.144984657770941	0.122925052808622	-0.238920581526151	-0.0832905044846741	-0.0782518247295861	-0.141512959568562	-0.00786713980794984	-0.119357564835783	-0.0660867724113006	0.11444371101988	0.117751537784815	-0.0887786547755637
"feces__J418"	0.128712220157523	-0.0689596294243942	0.0909015614764202	-0.187372204544919	-0.0765874459966487	0.254388787573619	0.013699729015941	-0.0260951653742272	0.16184327665019	-0.0095581438147527	0.0605545208848142	-0.266251803273894	0.0242255535458206	0.0322432165740893	0.0131939263970792	0.04769745415043	0.162209425882531	-0.071802117198594	0.0505447538382083	0.185034765642452	-0.262261344130504	0.161409309578139	0.278983283701232	-0.000739392439632558	-0.0578969330166966	0.0439902775189123	-0.127722219117855	-0.206579207845821	0.0976963729762146	-0.00795786515602014	-0.0742281006926481	0.152612530863722	0.250261606670151	-0.449142723904913	-0.200317980169485	-0.0303601698617609
"feces__J419"	0.106064922809509	-0.207977907518451	-0.0116817228425801	-0.0665792132889167	-0.0964755392627938	-0.0254447872169744	0.0251845612596616	-0.214548839042191	-0.0448675773200207	0.132701873362556	-0.058741154152345	0.0251034332508613	0.187732835354617	0.0357868465350926	0.191400553350553	0.22882416809151	-0.025676149170694	0.0795605524768086	-0.134769417675376	-0.173409856005368	-0.123045486362399	-0.045428190805601	0.199328145227804	0.0300253356861504	-0.0543714228845043	0.113648965939189	0.230817825306417	0.0620807356742227	-0.0753990782655115	-0.205627429598735	0.272551747414757	0.161377970714283	0.00198636202531016	0.346963228225198	0.0529790031764248	-0.0721579665214072
"feces__J420"	0.0660354610377251	-0.172909519076875	-0.0176575430957932	-0.0756276477212445	-0.00178905775056103	0.115452902698481	0.0993469540548751	0.203034974170922	-0.138176221728445	0.0222956850950886	-0.0876202875826892	0.271404732796349	0.151904506337514	-0.0176159967304941	-0.135324798822272	0.178154406206115	0.0498417534287237	-0.244508579674175	-0.373543688852962	-0.024553120180916	-0.183691734434474	-0.0531329627975345	0.116431221713818	0.0389590740740311	-0.343830176732486	-0.223664571782772	-0.183248372035719	-0.00241564303331593	0.146380107839926	0.194467912075899	-0.177149856781273	-0.084694044958063	0.0180965978456027	0.138883857667524	0.0947452225439488	0.213695471413719
