"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"
"feces__J416"	-0.129509381255181	0.154307776239314	-0.107887619205636	-0.156450262262827	-0.10968412331468	0.171015667131344	0.0826500242772017	0.272872680805723	-0.398949655606393	0.195850247681133	-0.08363745871076	-0.115447587654529	-0.0335674460519477	-0.0975171658599992	-0.00199684310710504	-0.357123975901339	0.0754053769324231	0.0172727080996614	-0.0841418533244687
"feces__J417"	-0.0345782329641403	-0.132737903802924	0.112776414363038	-0.227655828968286	0.133702139887482	-0.0807216919508751	-0.0649686557183269	-0.0814600036251287	0.0996887229199631	0.202326937727095	-0.017212389096084	0.0107703942700032	0.244695653652575	0.135809022280081	0.393851575427734	0.0186348150059862	0.0258940981210878	0.114610538165201	-0.0753008997788235
"feces__J418"	0.195272449440661	0.0109425825631279	-0.00118424773941552	0.0541967708931747	0.26948408445039	0.0227848424971661	-0.0392102995524976	0.152096932555684	0.150709140437382	0.161187771872767	-0.233990778673012	0.250536792690913	-0.0201386052665248	0.0435911493682976	0.00496866392024087	0.222441825471985	-0.258473902837649	0.141270910725085	-0.150346610607221
"feces__J419"	0.116435040060848	0.274021321203959	-0.089351105070686	0.154741788718023	-0.0425659544349885	0.234226449431141	0.24759339818019	-0.0371910463378361	-0.0301676027859167	0.151290991312	0.0786875027013712	-0.166822420327483	-0.149685970114674	0.0780105925591464	-0.0845049058485709	0.172343349853515	0.111626335945148	-0.0336751521597442	0.0988521661109281
"feces__J420"	0.0927468066703783	0.128108164086854	-0.125817402854079	0.0306743316553442	0.27183425577558	-0.145381064941283	0.158794373629745	0.00303673127407654	0.0682789927870281	0.428553061372632	-0.0426944276961415	0.074969707283818	-0.0576082171230721	0.0322931088138332	0.0894849045710846	-0.10282662702083	0.227243097445147	-0.106768090416115	-0.00791731191131804
"feces__J421"	-0.00523416247393398	0.124893832180478	-0.124850869655302	-0.233628875679078	-0.0545024556156015	-0.135552146567445	0.161536231457123	0.184920156373867	0.152022209762951	-0.0311557180061907	0.253307064545733	-0.00303721410913483	0.285754813305038	-0.0911231256938167	-0.136873427849191	0.191688282351627	-0.0861434037584685	-0.00225915391591132	-0.0655127570276045
"feces__J422"	0.0628685431460753	0.133240180285553	0.11514413426561	0.0318319549899233	-0.2308107653594	0.167973567481064	0.0523487538269267	0.0435028689402732	0.0861897876606185	-0.0418349386062491	-0.222108530283269	-0.0681600892040247	0.429248045742039	0.190318924461152	0.0495451860510427	-0.188238782088686	-0.0442857128887541	0.286598745360568	0.0455036534603331
"feces__J423"	-0.16491964214075	-0.148480934093833	-0.261240656792275	0.191267089390541	-0.340365239310112	0.0944517542805004	-0.0119745462130748	0.0108486709504782	0.2074303179808	0.0479827769411262	-0.0180026063871009	-0.140295439429255	-0.129874763770934	0.106344319738701	0.105772807954267	0.0629925500963288	0.0434060681365306	0.105625705200982	-0.00248652595822146
"feces__J424"	0.0693342880008715	-0.058836346626453	0.157806632345884	-0.225914425051279	-0.18164285698049	0.0973442656193821	-0.0915131581880632	-0.0454722067569502	-0.0536490726396406	-0.0396181125628527	-0.204773894412669	0.0885858236175631	-0.117481139716921	0.032672703288404	0.29009969104973	0.10743207248954	0.00586703338238743	-0.287436457482265	0.0253608055777598
"feces__J425"	0.237591816088409	-0.0322894426312194	-0.069878597572764	0.183833152869405	0.15900099945497	-0.0628777995194583	-0.0221466657649744	0.168073686439234	-0.11721922207743	-0.201740936811586	0.226051325532371	-0.220194667859416	0.00778474963049993	-0.131007978540561	-0.0447093918917493	-0.0963515323045426	0.0880009643139601	0.0812155210137224	0.0393778680407922
