"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"
"feces__J432"	-0.0381670677427853	0.015101019341705	-0.152036731254189	0.0808063523780005	0.153324216336629	0.103941291937701	0.189588329030076	-0.0374108062581836	0.0775028745735881	-0.173082060652852	-0.0502510644878392	-0.301616666281916	-0.244749614425688	0.0988856694367553	0.235135458204768	-0.0399974339074847	-0.0894966657540509	0.193963796377812	0.182600208355214	0.0607339484876889	-0.158762103538783	-0.247904036066529	-0.0735537272492976	-0.236676475840969
"feces__J433"	-0.288326578629343	-0.165388636857146	-0.160829533542464	-0.101900702515746	0.153240038647911	0.122241439434853	-0.124296618207575	0.00135030757756896	-0.283592496178699	-0.0683604816171993	0.0715431365396868	-0.219531308873221	-0.141817903250769	-0.0971891113602843	-0.118616642875438	0.0342210168364267	-0.290226317192424	0.19894271881487	-0.0785234165092078	0.0260970946548757	-0.0956668835423876	0.0991395101432212	0.027614392277619	0.139786992318433
"feces__J434"	-0.0852035172556076	0.239306872293309	-0.0599454931461853	-0.104016694606659	-0.0461747272750327	-0.351751329498246	0.148866182653612	-0.0601803504740623	-0.445845236526251	-0.199918171741382	0.149629143235403	-0.157486294057492	0.20230155382181	0.0346291975498118	-0.180370259442288	-0.0362964289459542	-0.0329063974048372	-0.0708547001709383	-0.238451633102716	0.0431594332825888	-0.00806364822505086	0.00595111727144128	-0.158358617795028	-0.074883260016121
"feces__J435"	-0.0204075187148185	0.262992974057465	0.120978444284008	0.130507384704221	0.159767123084544	-0.0285253940354757	0.01242072235376	-0.0578028708995003	-0.0377464787582208	0.0394446396228583	-0.147779078052612	0.10825665179505	0.080556567492562	-0.10724220217559	0.0219595902934739	0.152346258910461	-0.0400769013129817	0.481120254215183	0.147438308008391	0.0705029463622032	0.0256503532090571	-0.122881785329365	0.210058735902986	-0.142851595992574
"feces__J436"	0.0894356057782245	0.0890138168069127	0.151402673247913	-0.0123981749633119	0.09876823905749	0.109343484659613	0.0955340829711238	0.0355683380375392	-0.0302589855906378	-0.362473711200612	-0.440846872832867	0.0736476364589394	-0.106643771729334	-0.0486222483876289	-0.149460202341118	-0.204202466270143	-0.0279195440787722	-0.142850513178465	-0.113557641655161	-0.294217268315924	-0.04074680696038	-0.00149650332292362	-0.073033609026418	0.218035477819763
"feces__J437"	0.0726859931522525	-0.00179028140546278	0.0996770292547003	0.16919164564324	-0.0393621589334475	-0.0200963366211997	-0.0755320111951701	0.120442145151943	-0.00124699783911772	0.0463982401123057	0.182852574142337	-0.0435502138826258	0.067834046196333	0.275648900455038	-0.0686547700432774	-0.0473442395574541	0.218213200436836	0.236640085070794	-0.10185971292927	-0.220191961214838	-0.300876424016319	0.415027622994588	-0.0848359343511749	0.155885013634014
"feces__J438"	0.167573360172524	-0.0551155554170938	-0.1257538976931	0.25387292173785	-0.00885785867538885	-0.19119186531058	-0.123526317391813	-0.0593973738123558	-0.073725081660575	-0.0291258625528249	-0.257575874954938	0.0302256047709228	-0.218957937731858	0.0219645070329898	0.0504446012573484	0.119695963080125	0.146505372121986	0.0973227852253383	-0.0337826048509511	-0.00495083557294775	-0.136679083630742	-0.228948340101921	-0.0368732428202493	0.357850550596653
"feces__J439"	-0.0915980443625501	0.123928443919962	0.189536185314873	-0.0690936095459297	0.0987437095456059	-0.221948602283134	-0.0285569653309545	0.108452223963871	0.0183256891332445	0.106367668973103	0.0064406618711313	0.0180796999602605	-0.0920694714150735	-0.0363296173328875	0.117204263827077	-0.250030150602128	-0.0321645747800431	-0.27597665246593	0.361296056777274	0.160122389447829	-0.0237102730650327	-0.0127814186745128	0.050924942825837	0.1910830268556
"feces__J440"	-0.274637174375241	-0.123387601844781	-0.0982935018694676	0.274261234753272	0.209896452275342	-0.158876342893502	-0.125721012330699	0.0497870531665965	-0.155417790633887	0.168684761496707	-0.149772150636223	0.0469956470218346	0.132787884557258	-0.235998452860209	0.288210693089774	0.049762092286147	0.0714615362504133	-0.265426664417264	-0.122840977247111	-0.140245392489014	-0.0454706090754699	-0.0666419317989915	0.0667866902646351	-0.00292175986793564
"feces__J441"	0.150541822525416	0.0278396847887619	0.342554871367955	0.209455827075938	0.0509765026951485	-0.101644114684367	-0.116379497543228	0.00133001111450889	-0.0235401438704936	0.240016717580914	0.0376166619160968	-0.19173335445166	-0.188570920512521	-0.0122190698104293	0.204597350547838	0.125095216233883	-0.0185894499401222	-0.200113584581762	-0.132670288855843	0.219893251473017	-0.179500273227997	0.0823469853235839	-0.311010600669237	-0.106629691975775
"feces__J442"	0.202390691755985	-0.000269560305066887	0.00270764281447372	-0.0941332915732574	0.0972772446191311	-0.0858571223366263	0.311858702242874	0.150016700433551	0.181011601998446	0.212838289864105	0.0725024977560344	0.112342689702366	0.212156071982782	0.0378164720719855	0.0900512850612052	0.231502822371628	0.0860519287129919	0.0114485272462047	-0.072926607482307	-0.0478608953712303	0.0933777473761551	-0.140005192126485	0.127065334955529	-0.00441358864071014
