"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"
"J411"	-0.0241928763395261	-0.111886980986933	-0.407088270928646	-0.0651391096544515	-0.08737768277823	-0.247382928148826	-0.133637888532353	-0.0335098614608041	0.229637284972893	0.0735370719503685	-0.101759065784134	0.134324968091	-0.00273029101874187	0.207163577756117	0.00208486515680124	0.096001818292789	0.163006747768158	-0.141993815107501	-0.295620187379866	-0.0653097471509682	0.213017701946975	-0.187515679158524	-0.0216820687287695	-0.0863172302989265	0.107002582657099	-0.0198853420819247	-0.244578528252797
"J412"	0.0895912699958266	-0.0615144869464072	0.0411452666353158	-0.0793337832438713	0.149905029637298	0.0384907198763666	-0.0169349313444977	0.0526016151497545	0.0334420931127076	0.316744188550794	-0.0398593637841	-0.163674186653285	0.0902808068265399	0.0739050258338572	-0.0640824535369877	0.120889475734555	-0.0332137649134035	0.168656637198313	-0.165628997993641	-0.201451171394444	-0.176948578335031	-0.0665442295353049	-0.0651492870909906	-0.13800125650473	0.210235284985867	0.371227527456731	0.0319886320398674
"J413"	0.135148932532607	-0.019960789454009	0.220609756093477	-0.389657029832727	0.00176818143757516	0.11394091176634	0.00566043972593335	0.199085089415266	-0.231923384329765	-0.317816304683954	-0.264729808210191	-0.0797373358905217	0.0591970000186668	-0.2365642285035	-0.038191543248539	-0.0437394207746557	0.079464451889348	0.0789665104579843	-0.203296863904707	-0.0031756918166067	0.0682454406494746	0.00847991771398803	0.153852884166168	-0.0592118536898293	-0.101908006809195	-0.069732237394787	-0.0902536431207155
"J414"	0.0224946775412978	-0.151516905687269	0.108020798813847	-0.0215763810038441	-0.0967643256895657	-0.0147163543570883	0.197877026086077	-0.110362063091038	0.0300799810700428	0.281678019102739	0.339047037683544	0.131693084692313	-0.0500222537363316	-0.132510328103835	-0.244519303252119	-0.14477449669218	-0.346456975502004	-0.0259423933735699	0.145345780185942	-0.0322174689451667	0.132377759349961	0.0885009553125817	0.119691846841687	-0.0201714851972974	-0.184850812766147	-0.0519509407867067	-0.118472454033514
"J415"	0.171357148816653	-0.133385862750551	0.148521089341804	0.222830523469809	0.0835840977751785	0.000784295679773554	-0.243210406373588	-0.00282478793538537	-0.0454268066893643	0.0629082105185425	0.148162729619184	0.0794583818779352	0.108900544813609	-0.233256283192543	-0.207286761451062	-0.105293169284886	-0.0122350896382413	-0.206636306949764	-0.101243680370824	0.205154732402944	0.040920543598911	0.124245135993065	-0.158310502062276	0.0654963236295921	-0.0569101908545652	-0.03148903559884	-0.0671062871001841
"J416"	-0.24493638489774	-0.0188632798465337	-0.0994010322857521	-0.32275714003314	-0.224733263711556	-0.248458733437222	-0.0627051933907093	-0.0542329788137021	-0.268130396496105	0.0637040894033172	0.0733188511359447	0.135100174160355	-0.0341499341794546	-0.144345057649978	0.00244781304587397	0.0711350171501062	-0.168164643865664	0.1427929843374	0.068385270542112	0.0161478733515569	0.153453893285955	0.0830305705203733	0.166510575238644	0.0519728717618801	0.335035219356027	-0.0484820493916843	0.310958334324815
"J417"	-0.175922876063934	0.14444951125871	0.179079902317849	-0.132929663766881	-0.170376447457649	0.0175336952878775	-0.0488176780283645	-0.195345513524939	-0.0846221072011938	0.0984592266252124	-0.0294598870267679	-0.225257365706495	-0.0882988303069711	0.0368522360966945	-0.204930802959716	-0.196658780004848	0.0711396575298605	-0.263943362306356	-0.129108848289205	0.0577445421389264	0.160792317567969	-0.273827262119766	0.214974309790909	-0.211282056528649	-0.0571152145417415	0.195574931232189	-0.190218912866845
"J418"	0.107844334251195	-0.0789190957587388	0.218978340795148	-0.0931286545065019	0.14924540066484	-0.014325415464975	-0.0730953286262895	0.0806356103048053	0.00665442867022907	0.160758572902897	-0.0480967281367985	-0.111388562993027	-0.0715564361546013	0.240089036920904	0.0595554409777417	-0.159247981110135	0.194655190364906	0.054212403640173	0.245129889959106	0.125069077782324	-0.25476616268828	-0.0806335422812007	0.0110894977740646	0.0170452122173102	0.125855694877199	-0.351282103427061	0.0314620291454224
"J419"	0.167685144990645	-0.226603765834886	-0.101649844973508	-0.0178324203673198	-0.0503093994108736	0.0340403194629193	-0.0557588841038811	0.16703692078052	0.122879034351855	-0.12410106238418	-0.0460814283765772	-0.141338318770019	0.199137124928829	-0.376856537593395	0.0455191069673853	0.0306560432497407	-0.0938977676171059	0.156919214628059	0.244779526267867	0.0140344953843665	0.00292891240543945	-0.101685013023738	-0.0537196134188543	-0.00294650414220501	0.176177575002009	0.254869830534157	-0.148513735102734
"J420"	0.126305086592188	-0.169198542098932	0.012619124363648	-0.142419563921836	-0.00856089379272905	-0.0735103264070375	-0.12864682748032	-0.30712871770104	0.177106757141824	-0.144944892160796	-0.185257792366863	-0.0634526284115711	0.0402352187554285	0.11431634840045	-0.15458676666703	-0.0688054097749967	-0.178807601460063	0.0434504347462502	0.0271421374673972	0.232653694591585	0.0148486227906213	0.0330076491718887	-0.370099537969001	-0.0804778828909232	0.00186494710400637	-0.357512045490142	0.0566331468582306
"J421"	-0.196661144029793	-0.0492806662910002	0.107114198976618	-0.255403267125555	0.230165021379215	-0.0405892582803322	0.073376942258889	0.0315801514133589	0.105591841265952	-0.322621314061323	0.166184677402347	0.140903163704224	-0.216068059030428	0.11660921625787	0.106757826543856	0.0530967825589947	-0.0795768010193402	0.0134761623010147	0.213690749579457	0.258900535121411	-0.223684502166454	-0.0925518186090759	0.0221364260655064	-0.0614667299091851	0.0345549008402098	0.17634703716688	-0.268566562056404
"J422"	0.0550798968410073	0.0507254684340826	0.102468659169986	-0.0975458627639018	-0.101152416920989	0.0343282813457689	0.191933968982918	0.120514521030661	-0.0391356564804594	0.0665053191502414	0.215208761442654	0.0506135941236241	0.0233310989419357	-0.185528659982409	-0.062760539364729	0.0767733085696753	0.123187934757392	-0.135117558038203	0.101817981513292	-0.377628138381268	0.140011043391932	-0.30666119534277	-0.426011777284425	0.0303927551057597	0.17617135284042	-0.279913233184806	-0.124312881890906
"J423"	-0.187309967774709	0.113231571133267	0.217382057817151	0.0682912175681513	-0.14294964014166	-0.168340116366007	-0.00606366692152733	-0.0509304473325403	0.225133305013896	0.20839369463276	-0.225790399801239	-0.201910827496545	-0.0790899535152412	-0.256556037974788	0.399919312524289	-0.0276466677395594	-0.119005626327364	-0.0498491856194084	-0.0269716134477913	0.0789132141703902	0.00916965479643695	0.0879490738453986	-0.0686575995930649	0.186526026174696	-0.0504863438510461	0.0295419477318798	0.0184535083529349
"J424"	-0.00296122068307432	0.171370483505043	-0.0671404812675061	-0.14219658450957	0.183216240370811	0.187390867240654	-0.280663555797012	0.191386597943788	-0.199333959034733	0.32300441117882	0.159875240935872	0.0566050347832188	-0.0225625680170555	-0.0055495969452568	0.0446372990076488	0.120269584440053	0.0682074303378468	0.2170502534223	0.0739427754644622	0.137896494330619	0.155825969770398	0.0252649452456807	-0.134844039097572	-0.193723793262138	-0.380042612490494	0.0823887657431973	0.0686864528363307
"J425"	0.150058733889342	-0.0793961681333742	-0.0125686781833692	0.110667333996433	-0.205824583402553	-0.126216729233658	-0.099018557592864	0.212034070369818	-0.0520696665445744	-0.0805634653787691	-0.0987069786422105	0.0397468848205712	0.000626269844445114	0.121948707057253	-0.0748837354516759	0.08046582179235	-0.144536673214679	0.200587232174634	0.037040742042463	-0.0740557413799584	-0.0660793593918774	-0.389651249533622	0.266135920584548	0.432928935630655	-0.216447733448744	-0.0474102773139525	-0.138946387694195
"J426"	-0.183931961412594	-0.0197747826869443	-0.0298423346595761	-0.0332289011356003	-0.0931534166443412	-0.0429632179805326	0.058398410310724	-0.113108633443142	0.0783415158788982	0.167539824916287	-0.0220146127585035	0.108938799669802	-0.0790109498680388	-0.0614284160481683	-0.274573827876831	-0.147984626240664	0.11683154868229	0.330290056228273	-0.0960352226634694	0.100671228225153	-0.305847937132455	0.212910270636884	0.00657552277210061	0.0252805555559452	0.114865068535972	0.076670120927841	-0.273654138960096
"J427"	0.096342499722867	0.206804608786819	-0.154661041533021	0.102435862218815	0.00527678874711992	-0.304701817889998	0.0595737907928658	-0.203522801457347	-0.215740839179069	-0.0827213447600289	-0.129605826324882	0.188760190148514	-0.0284230145241338	-0.00904789047137295	0.0502636774503493	-0.0332003607402492	-0.0501595339890766	0.242876809941378	0.102605291507601	-0.11302398373282	-0.0913003962502443	-0.105320611575114	-0.0783430636532854	-0.204133250935216	-0.370593456601921	-0.0889365700485058	-0.0453543905754421
"J428"	0.136035469739462	-0.195568583181802	0.048575899665436	-0.0383774800829697	0.0523988084327396	0.00424962927865513	-0.0814797139706207	-0.300238470495612	0.189067915801035	-0.0473616922378037	0.011323626448322	0.242103387657992	0.0892294286363969	-0.0139367063884234	0.146622629829049	0.193616502669651	0.301629776909247	0.102098222110035	0.227048795323144	-0.264777098342657	0.12091088631806	0.245409250588471	0.0421883328288231	0.0325891704579289	-0.0603045195332102	0.202648380886062	-0.0468779696814204
"J429"	-0.038496814916304	0.393326084804596	0.241077456731974	0.153828272333599	0.200302627166296	-0.069440358603236	-0.0409008341092693	0.0442323637036106	0.287369979708924	-0.109925289103992	0.249885309080912	0.087467430572162	0.0937566569316773	-0.0768061963565016	-0.122644689475636	0.00256707281225912	0.2403705738483	0.179171979280808	-0.0864983711291388	-0.124105742852157	0.0609066807421937	-0.00092401794938163	0.276227294937982	0.120583531746615	0.099046569547377	-0.183904009499254	0.0548201860682188
"J430"	0.0801173146102182	-0.0786293907329599	0.214442858347488	0.106649563153916	-0.15519634501943	0.15782181902541	0.160822376749552	-0.323011190755857	-0.325673495003445	-0.0201679945722116	-0.0492483844861076	0.0427864869282617	0.112149693685982	-0.00267089204355712	0.239211650910445	0.0502156373643678	0.173984737871449	0.0918269643942148	-0.0519619866453853	0.170998734466054	0.0812393392718584	-0.130337383313667	-0.0835165730738079	0.119983991041801	0.0947297998504095	0.111710373204189	0.164298404872518
"J431"	0.122381691715028	-0.120846602525018	-0.0881660952818871	0.122918329851193	0.114749921606721	-0.0710751475186435	0.0129801453500532	-0.244777779287046	-0.28471742049192	-0.251484286614858	0.230373309387896	-0.144267731910349	-0.101159595800133	0.0476968426330385	-0.166588929904352	0.248875551189621	0.0384470933770023	-0.265011438396502	0.0715659900912763	-0.0433023388004756	-0.103218857287083	0.0352128526680397	0.199118367380464	-0.0773578752791472	0.0774612316925557	0.0506008859918407	0.10795756031934
"J432"	-0.0745898866297103	0.0339714620931033	0.175818566536822	0.234473494887061	-0.0622739444454639	0.00356307383729	-0.130635092200438	0.0874629217917183	-0.0433498567352685	-0.00842427083195786	0.046903861411933	0.259613671562368	0.265124213268045	0.0391271652139439	0.313151705281488	0.0585662998383038	-0.123102095085913	-0.079929585600385	-0.0906192093458723	0.115390799494162	-0.0608685455893161	-0.0356311837459025	0.167896111549306	-0.418490132006863	0.280541852710751	-0.174617705507975	-0.139029459144674
"J433"	-0.346652849792935	-0.11591434080032	0.0482033791372133	0.173728874108513	0.0255469659928244	-0.0304695999397607	0.168816177916284	0.0483829401511881	-0.0576126767017168	0.00930215964948137	-0.172782521878552	-0.0115047907470496	0.307392349088479	-0.0423264752822362	-0.0236674538136694	0.0493508389438931	0.0661845817671133	-0.146077979785317	0.0387230067169067	-0.190613426046416	-0.291463842627095	-0.0689138209226567	-0.0447618493868092	-0.212499341804604	-0.304384170168219	-0.0141418274594788	0.0699160702812787
"J434"	-0.021668484116975	0.273881804965146	-0.128049997573826	0.107450783632941	0.0338004915850686	-0.298341291863896	-0.171703025038493	0.163472212772231	-0.0803217418516461	-0.0472817994574549	-0.165465607641503	-0.14456230536368	0.118233598189887	-0.15868285847525	-0.232337685414433	0.266018591263047	0.124906902071212	-0.158712720765136	0.130060843849449	0.248739354108108	0.0466090695059655	0.200604901932439	-0.10679212237217	0.0449421216861335	0.0516758767384413	0.0469930818946409	-0.053145008806136
"J435"	0.0569723104336771	0.384928888178348	-0.161764937613194	-0.000531786980875309	-0.170814356181637	0.218528028582807	-0.053468492920108	-0.203113173658135	-0.0178211576347981	0.0403844733370898	-0.110385194182253	0.219082489589858	-0.118437827918423	-0.0494613132635109	-0.0198357282036519	-0.123593046756993	0.0226836894380228	-0.100671173791106	0.0894399652244737	-0.0612426314033209	-0.329743766972322	-0.125816884347405	-0.140376288119411	0.108513252525798	0.131685360567262	0.117127908218003	0.100402119424737
"J436"	0.176974324750591	0.185823212175415	-0.127145940431369	0.16416469819196	0.0602206825199153	0.126706890594754	-0.0430344783307314	0.032092250384159	-0.00404286519870037	-0.0277968606094671	-0.136890547794389	-0.140276659971567	-0.00767340278701801	0.192775365722638	0.105086793036949	-0.387011361739041	-0.129051663085319	-0.00500701387337418	0.403332561508719	-0.0877794450360381	0.335357158234122	0.0310903627542225	0.107679841738554	-0.159641801081387	0.145672228679099	0.103940643811759	-0.106449123580802
"J437"	0.0253002290030144	-0.0497236157032702	0.0862907253443174	-0.101114597875409	-0.220113883672691	0.263596945600836	-0.0835308274718941	0.0760388029147563	0.179778388177456	-0.219793902061396	0.0450411773538357	0.0222366911928932	-0.133703405983693	0.031224198215454	-0.0175707675730337	-0.0327721122189189	0.102712700084794	-0.127260014252271	-0.143857980291185	-0.0853968249466982	-0.0363151971917482	0.0989237717594806	-0.138160422998197	-0.0839314719623512	-0.156313524964694	0.116752576819399	0.00358330834687802
"J438"	0.2063295759613	-0.0797378790426659	-0.0917441862151375	0.126467212382403	-0.298923501234792	0.0022691104886744	-0.116897407100678	0.184121811537014	-0.0728761936693955	-0.0658338292872242	0.0764911819828363	-0.0717174953298213	0.0770731070683159	0.101962224575238	-0.0608261759758117	-0.273283610276089	-0.048773399280512	0.0358607409422699	-0.151548243445193	-0.184093774412842	-0.265732990649878	0.314950395328089	0.0836666022549306	-0.0625451878393201	0.047403137365176	-0.0216965099173974	0.144416398868836
"J439"	-0.0678820628890938	0.140916776428998	-0.185240575598714	-0.0848507660100196	-0.0263918601011677	0.0206654464231937	0.0831847459930188	0.0162688893533371	0.298033885877869	-0.22911649844194	0.244563628986442	-0.227093069205829	0.0278031429664949	-0.089388914622668	0.0948883099016037	0.06826699359918	-0.270784029861811	0.129631240222085	-0.094176316140085	-0.0444967986243518	-0.0331763557308522	-0.0818071941837484	-0.0495761567742531	-0.232459001766134	-0.0770470662668467	-0.0525344123970915	0.305606480411663
"J440"	-0.243200386813229	-0.0771722937684673	-0.0930621871257682	0.204401063493094	-0.299353422927036	0.0525370726804462	0.20854238758857	0.131699640197148	0.0502124379582045	-0.0490235854666118	0.144780229178754	-0.182831921040623	-0.0325363202246133	0.0933289457422284	0.0650760686494487	0.0695044423972324	0.144902435769724	-0.0845434520056631	0.256761218932774	0.14534607902728	0.0321138554978651	0.113194395058676	-0.0229615157868217	0.113998573704064	-0.113571807222569	0.0179949351934194	-0.0854030398445833
"J441"	0.213095664972587	0.0522274033725252	-0.18683746988149	-0.224593709541961	-0.188869700336051	0.127981636291165	0.137239940528345	-0.0679315386911079	0.098822470951663	0.172816824702977	0.190170387387925	-0.13091627878441	0.278335941670304	0.187073983710185	0.175523616996758	0.124465794910908	0.183297498004624	0.00260135869266958	-0.101480351812332	0.274121654245006	0.0140629413701714	0.0576252841915619	0.181548980472471	0.0793433453505045	-0.145412196599856	-0.145744977822204	-0.00756931660630158
"J442"	0.25132777172538	0.0758279981092598	-0.0889557447058431	0.0581486570140471	-0.0065079215760237	-0.0514953598432836	0.235350548773056	0.226383218781174	-0.0220583839893656	-0.0110537487994066	-0.0369682020779958	0.224802416072103	-0.519344009531265	-0.167199443304483	0.193397239380202	-0.00357537267185978	0.0899929005209332	-0.15017759316528	-0.161681402200141	0.0879691577872885	0.00874045610802221	0.152257051559857	-0.00124660550690511	-0.0616929328684316	-0.00604362864034765	-0.0132276601424168	0.0132815566632123
