"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"
"feces__J411"	-0.0520374893578941	0.164932966895174	0.268728470700308	0.195143253925983	0.297582665330601	-0.0525221943048984	0.244254847715797	0.0177222905608931	0.251567007182578	7.46298869216604e-05	-0.106704668471257	-0.100885377315215	0.167409503229193	-0.00328016716811587	0.0857043351437054	0.207549482537455	0.114339583417845	-0.0132466853883934	0.10529456859424	0.283817081031155	-0.237600914975929	-0.004517707489644	-0.195890163694934
"feces__J412"	0.133243429624195	0.0831040225969234	0.108806630881485	-0.00989340392649942	0.113957486653268	-0.136231063626767	0.0113927982457652	-0.0835397014483652	0.138205157720663	0.12067147545024	-0.121305302784154	-0.0443532169533353	-0.0578986926698239	-0.135289078385332	-0.0267938321401167	0.232566452409776	-0.232496079969661	-0.112054409893192	0.248110509757488	-0.106319513454189	0.19148314340111	-0.0863289945265602	-0.135585484137575
"feces__J413"	0.26149101809426	-0.123774255108435	-0.140276685696891	0.302550138452176	-0.061758303261021	0.0475903720195954	-0.135838430005745	0.193677927603853	0.0598183202156019	0.297179238997622	0.218612331640582	0.186310307221369	-0.00416686951201717	0.0646070196086301	-0.200190031242771	-0.199280410458792	0.208020913764276	0.197615323051686	0.222398031394006	-0.0376832913607065	0.106555855810692	0.0641613439765976	0.034264792198834
"feces__J414"	-0.059969686424873	0.107410832649133	-0.17160087677555	-0.188146393560679	-0.190178554130791	0.0765728056452956	0.203884550269852	-0.154468948599667	0.0663203558746215	-0.0230346022992841	-0.100975419251762	0.101795203403383	0.169537786956012	0.187129279255451	0.025755641152618	-0.100135309147915	-0.198744691353677	-0.145872912006452	0.0191246567367546	-0.316326688619597	0.127966480084629	0.0232097881048692	0.0121269536227464
"feces__J415"	0.0796760275489952	0.169714791581111	-0.133595635781187	-0.0491427668282926	-0.0593202540981869	-0.0792653139276097	0.124469024483686	-0.0280097552275646	-0.0352852148356659	-0.0834032669984101	0.0951922046328997	-0.0107254628229636	-0.339663444662537	0.272836321780695	0.138902033521887	0.0704316310075336	0.142965009235868	0.0826222521198511	0.113285011289534	0.0216934946414875	0.0484224216271426	0.00880100669656648	-0.545547006694433
"feces__J416"	-0.15274004553669	-0.0454994950290533	0.00167131055095407	0.094893535330119	-0.0441113636961899	-0.119725447078427	0.175566279991745	0.308712186763229	-0.197832720920251	0.0716880466041687	0.0270440379129622	0.0508117189108194	0.164735294935046	0.11554987609113	0.359040917055687	0.0961734838167453	-0.08944690575679	0.115299298488421	-0.0245473788745144	-0.221403487979339	0.0204436693303132	0.0879361705888698	0.291272271963993
"feces__J417"	-0.0351446836363641	-0.175122660942394	-0.122317633739287	0.187780637286093	-0.0853395608988285	0.359807934368915	0.32319146559799	-0.0507833684582039	0.0912986029869757	0.0206437743137994	0.077473400992046	-0.288134354115402	-0.0525070781049187	0.161423202431515	-0.0975628147422089	-0.217154705917556	-0.093532923494377	-0.0707643288529972	-0.121807780721855	0.0412074360471177	-0.159736906582781	0.106819160885175	-0.0647048386665851
"feces__J418"	0.0824783831070627	0.0209340576961054	-0.137163540858917	0.150988808995895	-0.0026395968937906	-0.0143652010083606	-0.164472947954484	-0.160664484744645	-0.00152021934383804	-0.211927503633026	-0.0699006353740974	0.0997400707457687	0.0289543711447664	-0.0222489893941102	0.0802078150581857	-0.176311287906622	0.0540604813157285	0.0905474724980242	-0.180938855969356	-0.287610715722584	-0.212001440417904	-0.467992065871344	-0.0625264499327292
"feces__J419"	0.0716743423593108	0.261050051140451	-0.0781570618646986	0.0803599971647314	-0.0533594808387208	-0.208160589140429	0.04370319324348	0.135236146360539	0.0788567676803807	0.0549727040749559	-0.0291942726544734	0.073705462988058	-0.0979353373457922	-0.0770527197942177	-0.16410395131057	-0.373049825886923	-0.137130256938821	-0.11406611465437	0.189305939146637	0.141562760338768	0.041758749215244	-0.114250105893617	0.134631685641166
"feces__J420"	0.0838797743218155	0.238768220589868	0.0765718942575565	0.109854457001131	0.123748966462424	-0.160268387476184	-0.052339143384094	0.0076463398895659	0.104265132287933	-0.0979126018478934	0.0775851760277708	-0.0645584053215928	-0.0689242957586499	0.0575372414363808	-0.178873338543476	-0.171183466176071	-0.0293991087205177	0.196191329793481	-0.390394218132782	-0.147015159483752	0.280659562787242	0.168702515623667	-0.0116832730920588
