"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"
"feces__J415"	0.209599617241819	-0.0593071202265428	0.0610393974136382	-0.177629264412776	-0.0295198913128486	0.0405972251605666	-0.0951970806936109	-0.102185298891221	-0.0342338047477601	0.341115187956031	0.170418506594147	0.114123344040273	0.0647348773168128	-0.0716422534727353	-0.0490903788260145	0.121142835651619	-0.178999901715617	0.0369854859451307	0.338475432930007	-0.111438479268207	-0.259784439799422	-0.0799076550180104	0.111192645357579	0.259090387795444	0.0652811059206295	-0.00326586750122281	-0.23061024249984	0.000625839115415049
"feces__J416"	-0.248830725027417	0.0560329687669587	0.128837723705758	0.130773690714439	-0.132678100916147	-0.295839382129891	-0.0746738415273405	-0.375549716247943	0.0698052460506911	0.263144220009338	0.214856281911706	-0.182918544965985	-0.00982638043363116	0.0854282657081783	-0.131269153981307	-0.0421805156097571	-0.149336676995269	-0.25258139139401	-0.0798157932839103	-0.0526735814386873	0.135806738499611	-0.00375440438695297	0.147756934608898	0.0622111506232659	0.102221901597318	0.0443504217915747	0.0187960245573574	0.084629350314823
"feces__J417"	-0.169872675061621	0.333519307591778	0.106211528127996	-0.0514746635408696	0.062715481740995	-0.199711194372292	-0.22166707799452	-0.0930097711715273	-0.174142802671	-0.0886362177204205	0.00101793144175701	0.0742003787728888	-0.0657726269897612	-0.0510718805294584	0.125562794843249	0.0763636012034576	-0.130431043281822	-0.0294860306227219	-0.0384977626772078	0.0391604998437008	-0.454373949907549	0.260346933535708	0.0444689227357965	-0.0433530625527395	-0.0586324736598781	0.0261944271189638	0.0985106480534712	0.0606563356657806
"feces__J418"	0.151005714899189	-0.00854029341516945	0.141035439905555	0.0445276842219458	-0.165086564600819	-0.204301423848432	-0.0198400124445108	0.202402353088868	-0.0584179229013961	-0.199968129529201	0.0100929051503567	0.287264498096651	0.172537567261327	0.107463682120582	0.0683240831394284	-0.117037019404967	-0.0294865756375376	0.0529776967061019	0.151970869355334	0.287719948548498	0.306421316259478	0.194874839085971	0.0303873147268331	0.278156304657898	0.0338941190625135	0.149195486228443	0.229994008692738	-0.0714105082727606
"feces__J419"	0.109002606352138	-0.236446119288797	0.015116308445709	0.0416973119802959	0.0196964422825578	-0.0663213756757413	0.0406124814747705	-0.20569973681393	0.110246486506481	-0.0370792533728856	0.111203305514264	0.106330407299042	-0.0152125612515561	-0.276166670251938	0.0680442991765301	0.106860338176757	0.239471060302776	-0.336552195081667	-0.0684276594898405	0.0286533846112083	0.253030654228204	0.00657269320345711	0.00044819307116406	-0.111858147759112	-0.0191248090010347	-0.22563308549617	-0.179237505245975	0.104532040811988
"feces__J420"	0.0812223872645496	-0.065927859747241	0.102405876152939	0.0606325245812917	-0.030603750044517	-0.0489645260518594	0.0775831797960979	0.0972901254887243	-0.114768101761089	-0.225339830667668	-0.170156054185726	-0.15258134850794	0.0865735413595175	-0.290247554316098	0.0999133857980464	0.429542424312399	0.0766501801607588	-0.153816138135594	0.10441919351701	0.0392220035092245	-0.138014378894327	-0.0754572604402922	0.257075202625124	-0.0151375844515683	0.258853676070389	0.407752509376771	0.0163361660140118	-0.110411556819685
"feces__J421"	-0.15015394942293	0.034826220925237	-0.0346020284332342	-0.0791753956176834	-0.22233378039633	0.174863894549837	0.150589022739624	-0.245810317950028	-0.257177642736134	-0.252177858132567	-0.0615211069565547	-0.0648277454522083	0.330233739331346	-0.102100409538215	0.314098074180211	-0.137573496374264	0.200105196705608	-0.11860892324592	-0.000323015326663048	-0.294875248518521	-0.053351263429735	-0.0372800707559137	-0.029965566495286	-0.0149256284185323	-0.158942337126126	-0.155366301510556	0.171960926495304	0.0534619425265617
"feces__J422"	0.0817439010095168	0.0938518877313501	0.0441913751389385	0.136995246520641	-0.0571829493757957	0.0926077641501802	0.134344271520663	-0.0646135263770392	-0.156980926980692	0.05498050844046	-0.259869076059726	0.0645757814788115	-0.219854038656525	0.126298589526676	0.00799991266158665	-0.135337418734726	-0.0656556376426109	-0.224240150433946	0.204279449456532	0.0992861430670672	0.239158604493145	-0.164756486290672	-0.0850377384759	-0.00521268749068541	0.166231602666946	0.043705242334453	-0.232368416474852	0.33402140626784
"feces__J423"	-0.176344996862694	0.194344999304198	0.152821774205796	-0.100507106278452	0.145811380059194	-0.0256253415450489	0.348115255291972	0.290372905159237	0.0602796884259478	0.0607612592687777	0.4354648283955	-0.0236897314644661	-0.138534001594674	0.0790618312385595	0.136358134798306	0.00637585113166126	0.0456618049868993	-0.0407616189041957	0.00759061572301897	-0.080229830363752	0.0706028337975504	-0.166935739891044	0.0187521904837513	-0.0330403841014744	-0.0738106993024011	-0.0606014394010905	0.0647583949145496	-0.0729508020229487
"feces__J424"	0.00281249036932899	0.139535894701433	-0.214679685911677	0.112137062071023	0.0330576962533388	-0.201900542180801	-0.0205661746735156	-0.0126351981938591	-0.215200764982899	0.103070590592991	-0.0944918186278783	0.250405102428756	0.172870066673347	0.178842089556283	-0.110021120078964	0.0962838537589312	0.164473437847857	0.33565203765163	0.0620660883088401	-0.289979891594533	0.0144411126474972	-0.341956689241532	0.124105003123831	-0.130835034349886	0.172944933792346	-0.114006565303778	0.0271717330208147	0.0571816945137865
"feces__J425"	0.169358224841309	-0.104994721268318	0.0801103608188818	-0.20322316608121	0.145311730328571	-0.0344804025993617	-0.0430064107900976	-0.1043313739857	0.30850119773172	-0.129519358692119	0.0176302354885086	0.000253025115413377	0.142312649103774	0.239820949976378	0.0776855832671811	-0.118624137417182	-0.161147007980873	-0.0667813752138082	0.0753021913171566	0.203957621321062	-0.0880138184073476	-0.171647874400514	-0.0107000580248356	-0.139838460001317	0.0406787535756277	-0.178533069573124	0.26503468091254	-0.027515100977463
