"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"
"feces__J411"	-0.093902544697041	0.0683725901343609	-0.19367846997075	-0.245230118627628	0.325741043591497	-0.218116778363029	-0.12027870494302	0.0346857567238886	-0.262418389262216	-0.196242329962755	0.0761219276853489	-0.235825877207666	0.208744310678718	0.0619287904878347	-0.241988422841408	0.180974077033674	-0.191263055668969	0.0933664740654296	-0.0878533220004204	-0.0237094686187108	-0.109696072122675
"feces__J412"	0.102707051115194	0.0625081866095147	-0.0944634414818049	-0.0798628655676026	-0.0744757771986285	-0.0215362738438615	0.0522239745844947	0.0392554032947304	-0.0640177071340954	-0.0735465293288159	0.0649041546746956	0.0391530876278388	-0.0223452327723459	0.00812747735782177	0.0645441556360822	-0.308294988730697	0.174023929742429	0.365360026300656	-0.134929739740682	0.0438886993930756	-0.451761299799933
"feces__J413"	0.305966168653326	0.024004760660304	-0.0422884679252233	0.121271827776422	0.213922668114104	-0.0374319698507478	0.0719051806523569	0.293625616948458	0.0130602867835781	0.216689510085511	-0.247778978219616	0.0614877039468646	-0.0332993463227777	0.0135756532245935	0.18883673978342	0.0108056812470695	-0.065218447803347	0.14358611466356	-0.00242331884906917	-0.131404807895892	0.0190251595179643
"feces__J414"	-0.0606919453424465	0.118037758708881	0.0562724304540834	0.10326040633452	-0.206498271261557	-0.215121682246233	0.0435519878517712	-0.0348923508919855	-0.0681495514530735	-0.141971815442132	-0.25951478539216	-0.00863672151506872	-0.0699545300856302	-0.110564842786246	-0.10640776261495	-0.204450339184778	0.10110724276409	-0.230411035092929	-0.0200833550238476	0.183481581898718	0.143783033251597
"feces__J415"	0.0816749642317921	0.22457034261046	0.0256385747928961	0.0580585974644727	-0.0131857368543697	-0.0711528356408772	-0.0689467522133631	-0.0991249047664966	0.281725964386874	-0.0469618733911965	-0.11907946289962	0.037645764425499	0.268920115646052	-0.0391989787922007	0.154804613392155	0.0998681047325684	-0.18020612115713	-0.120735534661235	-0.0466063621741072	0.261043818142398	-0.199892197791264
"feces__J416"	-0.155446143619338	-0.0506197131237347	-0.0214194917869548	0.0885408795524245	0.249467874757918	-0.0789303415494501	0.224753002899133	-0.121878079647813	-0.0929701290702087	-0.109129331810212	0.0694428358570773	0.0738483334244252	0.221882024165651	-0.402708653773388	0.253335921909937	-0.100059750557688	-0.109022937427381	-0.029571890016099	0.137969833721474	-0.127543799121947	-0.0385103386510287
"feces__J417"	-0.00412663909052476	-0.178704778788396	0.108991300988858	0.114250628258632	0.0275965229327908	-0.260611478419524	-0.383018360035697	0.137193324866378	-0.214368590116184	0.167392566652202	-0.252555449015004	0.123211951610906	-0.0707334002221983	-0.0912006154201342	-1.55906420261139e-05	0.206506247665905	-0.0281135078833975	-0.0472648511841025	0.0523108356664908	0.181739585953597	-0.0245849866210168
"feces__J418"	0.108089829077105	0.0150242657388157	0.0019266216089207	0.156511099395448	0.0627040115465501	0.338436652858107	-0.0326288638317778	-0.0401837504115067	0.0139243286960511	0.0411420392670914	0.0297621472150359	0.174097359421852	0.110397847341807	-0.0274085152883732	-0.187230329966895	0.109516382032288	0.186986988645163	0.0905368170586978	-0.382997611155882	0.271437142406816	0.162200516534005
"feces__J419"	0.0558273954354327	0.276441830604051	-0.0374750438320883	0.127957331066999	0.116174204094504	-0.0418626392805928	0.185033043696582	0.219068968466255	0.0958933425970901	0.110411513519748	-0.00550762891007491	0.157278555768028	-0.192626501175437	-0.0634776533081811	-0.103865293642934	-0.160190125936748	-0.0292295692551146	-0.156684001884478	0.122315128957272	-0.0741251171726901	-0.121037983756597
"feces__J420"	0.0537067056878561	0.173949856526338	-0.127692705274308	-0.0315423172809341	0.191247668361125	0.14839175197418	-0.057943511136573	0.117730937396175	0.0623289810965624	-0.0273485945921929	-0.18863577604845	0.111068938148475	-0.126683252839671	-0.152090875252571	-0.0930074520176877	-0.204281119691657	-0.150704164073894	0.263986065775544	0.180706123341199	0.0612077587032569	0.0915334227536038
"feces__J421"	-0.0963769535292511	0.0842822851476731	0.0208998939837206	-0.0996365802063689	0.0622835354678779	0.265202449455053	-0.195359378992646	-0.313534180046282	-0.187854229795533	-0.0844869389444805	-0.181290206253318	0.0775975385966519	-0.116155707095015	0.363355214078298	0.083770947470589	-0.158463409369031	-0.120568063584239	-0.0502300191966129	-0.0499429015146171	0.111202453738963	-0.137268727169448
"feces__J422"	0.0793234015352741	-0.0386733514833693	-0.0570665868777968	0.0774485728184984	-0.157235021326115	0.132090384978191	0.235591207759519	-0.0947035242622523	-0.00585418610044868	0.140649253887561	0.102105798842759	0.0513139735623144	-0.0520352467260363	-0.133563323584003	0.028995723267182	-0.0295561828829925	-0.0692973483834681	-0.257210266633829	-0.127744091749793	0.247673275823656	-0.257510640063363
"feces__J423"	-0.0944915548402747	-0.114516195177063	0.370290288221554	-0.0207502514698952	0.133322260954644	-0.299205704497413	0.300790912364196	-0.0263493882372438	-0.0690764611720303	0.253661137785757	0.130598242918095	-0.0317791397386879	-0.115198120290324	0.173824875296988	-0.0501542688494474	-0.0527283092835954	-0.0681676001266945	-0.103808765617225	-0.0329616216464738	0.106148536661746	0.132928847511544
"feces__J424"	0.08740419653214	-0.37029190164082	-0.32060927182624	0.22215779285503	0.0101996814105286	0.0136037140017638	0.036007359370516	-0.24537502928587	-0.0143773910989772	0.230130658506937	0.0935730051708716	0.097691233854983	0.184006910648752	-0.0318624290943804	-0.153195946103753	-0.0376750135442473	0.0703601311163914	0.0297162876006884	0.000196404002632382	-0.104946910062574	-0.0257026127527679
