"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"
"J411"	0.0283407587487536	0.130168329467205	-0.353996985398816	0.263312318774571	0.098336507424665	0.17813148588614	0.165133568858168	-0.237623875978691	-0.199156002657097	-0.0520355916135129	0.126471126940779	0.0700446732265267	-0.199521126282015	-0.0661650966101973	0.195477719065075	-0.0552558128403271	0.032318189767898	0.250580688449068	0.0459851505434962	-0.0647959983706425
"J412"	0.0993962868501286	-0.0160921596910589	0.0450129113754721	-0.084570884921905	0.0476069883644602	0.0853876589458581	-0.109116193793146	-0.0701170094216753	0.0699735508472004	0.0149974112896713	0.167713741886597	0.0674463570058981	0.0291516164171001	0.156950942691985	0.362246512219472	-0.0907571398270301	0.120193386794421	-0.230478553276599	0.0259680309911115	0.475632120393181
"J413"	0.28481938952886	0.049133095419793	0.271300805402135	-0.1049064535323	0.159583327080287	-0.31620751134253	-0.161931448012459	0.214918562520596	-0.12510173965228	0.135119505648185	0.0957162385079027	0.106934046507533	0.0282361096099451	-0.129250965033632	0.0650616686239896	-0.0521769461283032	-0.0805268784300411	0.0522926815800615	0.0224838941720461	-0.00280053110571504
"J414"	-0.127428132945969	0.262422979758048	0.199754646670115	-0.051777288936009	-0.0736215347531941	0.235851918630853	-0.240883495670155	-0.192904772575197	0.0346128623194912	-0.233464998747438	-0.192407654362384	0.0162569489731216	0.131549201600559	0.120144056867351	-0.225251815225351	0.0978866908212955	-0.148021135578669	0.0848172639815067	0.0465436489052938	0.0715712657022977
"J415"	0.0858430887391554	0.0719556451337628	-0.0425164513977515	-0.231664714441296	-0.0788343676407654	-0.159311379041546	0.184584312414862	-0.124164956000273	-0.167233189087363	-0.000484429943600929	-0.194877542866443	-0.156357955941313	-0.0221343536149156	-0.180145807186448	0.246852851268419	0.0316752500294669	0.00799916427849823	-0.0166665677313627	0.191026039620312	0.0310435513520979
"J416"	-0.0348037255385972	0.108542536408137	-0.0255562244164816	0.179006793297645	0.181517922093988	0.00914846637824283	-0.227916516927134	-0.100490480023576	-0.106487062665622	-0.142924926985125	-0.529730220012796	0.114000795095485	-0.100732410549261	0.223182588757408	0.131609506992058	0.154760315436009	-0.0494213544551824	-0.0508129792149353	0.0313504126973378	0.214811692404381
"J417"	-0.126800292901429	-0.103719962737971	0.232537316058495	0.156992075111313	0.185750695727322	-0.159577348677954	0.225026881449023	0.0338059776944155	-0.049397554642159	-0.0655219898047139	0.0712818980830578	0.0428102757082356	0.010906797797292	0.0127989578830918	-0.197169465955522	-0.042513272276219	0.206266562477604	0.0183206327350167	0.14732915032035	-0.0240631159779337
"J418"	0.106867349639313	0.00165643903751705	0.0262761107592771	-0.279829638705603	0.100116268854799	-0.113152676604027	0.189025591219019	0.0730127220323487	0.0914503048431837	0.0597615771417158	-0.109845592554498	0.281479563479133	0.0631186781558201	0.0167406333845601	-0.152722864256158	-0.0123013656004675	0.0231359535133253	0.133737740240819	0.118340188855302	-0.113221537478478
"J419"	0.201567547869828	0.192411827014526	-0.082482800976132	-0.0876842416615236	-0.0511958164042318	0.0317588940656863	-0.291783432068122	0.157074493965623	0.00968993151770843	0.271225913857523	-0.180442677989931	-0.0929040143298259	0.14741930776592	-0.215208175909184	-0.0448680693820696	0.0132547104607987	-0.158957351849105	0.0922782286026028	-0.223421911339138	-0.14213920720569
"J420"	0.17829506577188	0.112132552549477	-0.133641002111754	-0.00855343017363424	0.00852119941953229	0.0800073813788784	0.272337633093403	0.167393445241961	-0.114070650946665	0.179749038680413	-0.124688701173662	0.247104911858144	0.293034004387806	0.0700120932640232	-0.0316507000277342	0.178763886978312	0.154610387143491	0.0818064632610371	0.180409809534041	0.251569067241342
