"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"
"J411"	-0.29841130825712	-0.0283269065289842	0.184334416271877	-0.200764110374896	0.0243953879895953	-0.0622739115768566	-0.1921127255845	0.133843126150646	0.187508604768346	0.081076129950268	-0.0687170966544613	0.0440940777055871	-0.181733191773964	0.0195846054100884	0.0756519135202492	0.105713799480906	0.0917625451195662	-0.0355231446508114	-0.0335742147878651	-0.146550894983469	-0.073276583136373	-0.452604159189924	0.0390149290049064	0.159332813727083	0.232865455925031	0.0561400297863269	-0.00629589767959646
"J412"	-0.0733519807407284	-0.0956632763838032	0.0233286251947665	0.126088845188231	0.209883431199106	0.0872306400178464	-0.168104434488685	-0.00752984405296703	0.0116888989216349	-0.0926061240858521	0.04275695401921	-0.209140446954343	0.117457473424991	-0.24715162481461	0.0958169919681346	0.11318650407544	-0.0458231357504297	0.289736272002854	0.136126342589027	0.139978050305833	-0.110427740472281	-0.12472264777149	-0.0911756843953627	0.0512957590488431	-0.123018422912976	0.0400136070805484	-0.117848719209014
"J413"	0.0631969672307348	-0.140626525750291	-0.201429520108463	0.237660172995184	-0.151770670561985	-0.17048999198521	-0.337507401307641	-0.124739941085777	-0.16099135902554	-0.0933901735068264	-0.192977642449034	-0.00548573693395289	0.229972346003487	0.297895567700409	-0.160466708164893	-0.0310792557524342	-0.0638362501303053	-0.0935080796198343	-0.245047640402326	0.0574030260794576	0.228525242495934	-0.198520152145926	0.0747496689364199	-0.00450776003477705	-0.0335520483423683	0.0787962769791776	0.0384829530539597
"J414"	-0.0962066509802706	0.0315664202056482	-0.0446188479690225	0.126339563176105	-0.0338487538512465	-0.0444391945910388	0.0589800229780168	-0.0322349563468103	0.0467073319166447	-0.093524158459163	0.380545717583693	-0.0462671201984597	0.14659682545234	-0.369620819861133	0.0147067610290113	-0.0106782985280814	0.000865693254079325	-0.161224438518354	-0.336276399583133	-0.109272823909585	-0.271671456706154	0.166400459094552	0.227916435769488	-0.270192172105475	0.288197782247212	0.110259745554943	0.0696664120508834
"J415"	-0.064143690951125	-0.216178443931546	-0.163318665328515	0.0308126255745105	0.0766432287054599	0.0624766267351265	0.0382822635591569	-0.154415024918363	0.049531918861878	0.0530201191544843	-0.0209124860120546	0.36537021116761	-0.0606136474406252	-0.133856847032122	-0.0836236813628952	0.189178503456847	0.125677863532219	-0.32418672178781	0.20220135651109	-0.112088650868588	-0.0356914059550676	-0.013745204551476	0.117288398974191	0.03903879990135	-0.0277413433790301	-0.317716319932897	-0.16281409174493
"J416"	0.00389794102237697	0.254143511838335	0.219578762072393	0.161694896432309	-0.0343746949169022	-0.163376199092526	-0.495382748234232	0.0181952503384463	-0.0184460830881976	-0.0538817753791868	0.0138818526283097	0.19096534769793	-0.192276071146023	-0.0465964676249249	0.148983341054086	-0.119849029076926	-0.140764367090561	-0.0496174026242448	0.0453127081678892	-0.0423778260271385	0.0235539750918476	0.313412219797828	-0.0657728022274015	0.108018936198288	0.0192637456878912	0.0925768909423745	-0.164669609922344
"J417"	0.274080317413501	0.216402480349351	0.0913080772679253	0.115850289583482	0.243481103543161	-0.327784612772434	0.0565012780793249	-0.2068236729164	0.136263858090414	0.119207863441744	-0.0729465471841322	0.159050461233528	-0.124665527103333	-0.0302531122179788	0.0484438935280156	0.185038710102022	0.0249832889220353	0.0542231701991281	-0.138826972943824	0.131706846273566	0.164673211645654	-0.0654588865097911	0.178476475854354	0.0887013540287839	0.158366528238229	0.162382339631403	-0.150376519974968
"J418"	-0.0820654298486573	-0.159153919781393	-0.177607099002202	0.0148697297474949	0.29982164989064	-0.0150754945447886	-0.0388829304647038	0.0719982479705327	0.0281228153000907	-0.0221090811638448	-0.159200575497996	-0.141740933474878	-0.0419041792781592	0.0642840408995413	-0.180920663698929	-0.0281801887197331	0.223264196658907	0.0652678820249835	-0.0518248565437232	0.165686755360403	-0.136167970244861	0.0996172985544095	-0.204672788704847	0.0484622374101831	-0.0140964041292925	0.094114412359098	0.0742048316616172
"J419"	-0.141049697486546	-0.137939141930967	0.0626102135268459	0.106439214786811	0.025868506345458	0.134164783974	0.0940270408635933	0.123681104822344	-0.172400732982981	-0.000591129871008074	-0.0897603699395617	0.120423055736832	0.34195193672507	0.0147730409151628	-0.180689923010659	-0.0332075391555875	-0.109240625446877	-0.230829615385292	0.0222782991341498	-0.0400985155892509	-0.0341628991284681	0.188181540739305	0.0925105883288659	0.281132184127852	0.0837006941365124	0.0550955669656199	-0.0372577131697767
"J420"	-0.131220870231596	-0.0718962250212416	-0.1256055337672	0.0430313575961088	0.0688952971551291	-0.200188446306189	0.150478481776106	0.271093570119334	-0.193374941674331	0.246627871600428	-0.100124641485649	0.00817889472449704	-0.126893669551665	0.285510960923223	0.0847197729500792	0.409463747651541	-0.165620894009388	0.0561839998677249	0.0142646537229386	-0.319322884635573	-0.0406431210579068	0.190322416270787	-0.0806637046334029	-0.117364413162874	0.189181837318132	-0.0459535926193132	-0.0740835309591939
"J421"	-0.0100332291995702	0.151722557405081	-0.206704429779734	-0.112304890874431	0.0774457040427162	0.2552444443034	0.0634656769991369	0.15382772889418	-0.0896456401907205	0.220159861815744	-0.0404180914090066	-0.184969100408283	-0.220510774809132	0.255284801036778	0.0561499444769474	-0.388452663006505	-0.0174774347283073	-0.0920619841249439	-0.0780194849502145	0.283911875631782	-0.0703190508515623	0.0615330287845085	0.110130429827186	0.116432700602835	0.189421298827309	-0.0741347565448348	-0.0453081128158776
"J422"	0.0558972011501931	-0.0639829137302693	-0.0903332456268846	0.0422390072647227	0.131481031525269	-0.0810988888776705	0.175553008815711	0.0720757063559034	0.102411586351325	-0.00163587013403191	0.183802643695915	0.146860463223619	0.177401541403693	-0.101251256699505	0.200107583552582	-0.0681465964822546	-0.346756489296041	-0.145978710594071	0.00494980910307389	0.329232393035967	0.217426294232717	-0.123363689502566	-0.226126738595605	0.14321192543877	0.292712175694474	-0.110655767500519	0.275992844968187
"J423"	0.123785826618124	0.227668950684356	0.0583088225953268	0.08355415248382	-0.00600849102570048	0.187009004530941	0.0900631185020197	0.184180313248678	-0.162734318324802	0.0812688228042409	-0.359317161598738	0.0605536655726243	-0.0154557838366207	-0.324897057827862	-0.225617336904818	-0.0451139166648804	-0.207698103988976	0.0497348419845876	-0.203472377542213	-0.171180452828359	-0.0245135615777332	-0.109631350012509	-0.0354348205801982	-0.268084017583252	-0.147581059479811	0.0194071738914872	0.122225120191901
