"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"
"J411"	-0.0530028583264557	0.108933064999065	0.147272414259778	-0.266574201674958	0.0474767825824126	0.114208372238101	0.0535979417359963	-0.337560576515039	0.192568358792432	-0.160876069173837	0.106550361721372	0.201752717198856	-0.0757334484694261	-0.082396909571897	-0.372951571228229	0.0947442798117193	-0.181973913010184	0.194122084376293	0.0559680160854243	0.0244953981849015	-0.139916720464239	0.0190426692871759
"J412"	0.115125254610784	0.0116712090356381	0.072154460958116	0.0104536553626452	-0.121300618839628	-0.039068448099573	0.129075659696716	-0.057183154300283	-0.00246282138358375	-0.0682921873171834	-0.00977598881921359	-0.120606368892593	0.0728550650663199	-0.0323373154740969	0.0445945716266136	-0.0523459984424089	-0.128025110726996	-0.225787887270014	0.310524291327973	0.249022527339454	-0.257118276468999	-0.366463122157756
"J413"	0.313896668071736	0.0242350132306025	0.0634435454939643	0.174943636477255	0.202293772006988	-0.0233897920705091	0.257834675541832	0.257021814274724	-0.113390310709918	0.0902930202117904	-0.048243436000202	0.103016071575982	0.0288026708693115	0.143924396902339	-0.0284103687879967	-0.0493598453131523	0.0998725595927494	0.0614838503762984	0.18432341175474	0.0352856357484514	0.0517476657993658	0.181984898987229
"J414"	-0.0378686234165553	0.174213226212894	-0.01145606424958	0.180946779846249	-0.228725191568569	0.0849121449753181	0.16348850862497	-0.0374426425479681	0.282933209195285	0.184518203133197	-0.0142145077190727	-0.0243627027540012	-0.35812138635741	0.0644027393012102	0.0823851803344534	0.00559533586272924	0.105354393771015	-0.0720246408759276	-0.15143789072421	-0.185788524769106	-0.0616049812898933	-0.14327366280422
"J415"	0.0842704477785686	0.108931717183821	-0.300822617186254	0.0185756511759691	-0.0270296545344735	-0.0233389421090667	-0.0807616656847755	0.0780421471220187	-0.318769094449772	0.231636702141633	-0.132100319119935	0.189951489296252	-0.251522197700097	-0.22301106861549	0.0101510963392334	-0.0223317773137357	-0.21693512426767	-0.0164135714378094	-0.0760642233354752	0.0394285690190649	0.108292574383185	-0.0683679701566618
"J416"	-0.107623621504885	0.00302432685812111	0.0827430493721339	-0.0312686796268588	0.152039545440589	0.240995600739838	0.201941407268507	-0.0282551725738781	0.248613936053715	0.351131916625818	0.065483096961869	0.0869970825943084	0.0348916817315175	0.113477365182571	0.136014665490647	0.195887014312141	-0.0752908499527318	-0.317493937787633	-0.171810461977571	0.190125238373259	0.167515295299492	-0.153925293128321
"J417"	-0.145628272488461	-0.187068850830531	-0.0164271667230101	0.32998358453775	0.318039279701285	0.0863980737127143	-0.0283835892198151	0.190345882697834	0.163046056071283	-0.0569059834121379	0.270370888894537	0.0248562135356032	-0.0456070321632894	-0.144997123960037	-0.151829631325101	-0.247877941862837	-0.100374885182241	0.106706579025856	0.0331577544051986	-0.102528188759432	0.114521260105549	0.0109307993165963
"J418"	0.128462989637612	0.0836988625112018	-0.137979733314702	0.0717928022499888	0.126156168829607	-0.32206803971312	-0.0399288461292275	0.0194927911059142	-0.115232369385173	-0.0730289650445943	-0.0928616250216787	0.042790474915252	0.105261821964501	0.0481830500951826	-0.0323134011510126	-0.225803856023399	0.0807111764594154	0.0328661039139893	0.0455139844625859	-0.207409971590126	-0.0515109243495887	-0.353345228600444
"J419"	0.151386952669382	0.225639002993293	-0.0385362092458666	-0.15581854153765	-0.00686147372860936	0.0109668263392896	0.184362504679808	0.122516448579161	0.0360360922501423	0.229140701117335	-0.105728364043177	-0.211487809332938	0.137575009612508	0.193881951509654	0.0538882403746038	-0.0148547415229164	0.212846837770024	0.245830048079003	0.0273103634132013	0.0677341267839897	-0.0543490663009307	0.248208127207791
"J420"	0.112909340083023	0.165523841490732	0.0398542035559652	-0.129638324401418	0.125887426066181	0.0658698778130344	0.0822821241315125	-0.193845704134191	-0.160320376671264	0.0371769356459014	0.111060925020622	0.0581201261581743	-0.0481170570148599	-0.0909404469523405	-0.120859308868325	-0.477448364506381	-0.0503190971350795	-0.101017113106714	-0.143845915092986	0.193912761187054	0.0605589991741715	0.0247531512560229
"J421"	-0.111940924727506	0.0505128261574381	0.21200390096493	0.0297091381015176	0.2785983201827	-0.13950696753442	0.134423610316874	-0.219936822030629	0.0361301587798149	0.0643503431474696	-0.29033391517332	0.0249122851505829	0.0931039287025579	0.0678857922252327	0.13185237825138	-0.156395668932844	0.195696174686883	0.153104847075154	-0.00657213907940063	-0.022263782434676	-0.0655914051486069	-0.113036399125528
"J422"	0.115531552124248	0.0285300531465827	0.123192109178275	0.1717534051058	-0.124816104174121	0.075611055226322	0.0261946872863532	0.343052399425893	0.00946242537765916	-0.0428593048908217	-0.10348566303297	0.127279431496144	-0.0245458845329368	0.116602066017519	0.080515413326006	0.0804355979353272	-0.348228971897436	-0.0888233898692419	0.00776939844659767	-0.21018049198763	-0.299907594844006	0.0109354902994247
"J423"	-0.185816897871891	-0.198041668075319	-0.423033469779295	-0.155428036238554	0.012257524333722	0.172047243601278	0.141165206461273	0.194400005144118	0.156380108754626	-0.127558252451284	-0.1155129949448	-0.242537228880563	0.0708319034959892	0.0567813959104086	0.0287802573584175	0.0315791959738029	-0.000519384350856903	0.217168823330429	-0.00314193020622417	0.0851451650142573	0.0381010235213186	-0.0357512780324449
