"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"
"feces__J415"	0.156438431751627	-0.114652295072332	0.0717793028653954	-0.0274007012291103	-0.141864873460863	-0.0867166872387933	-0.180152715563662	0.187640285330271	0.0388943618828015	-0.175500205240813	0.0500348264578422	0.25438633039933	0.217900622792603	0.138800955069733	0.0872245047791674	-0.059227774819694	-0.150727162259571	0.345709103008013	0.112994315891204	0.0667525957898841	-0.0922890810870828	-0.0862913176756001	0.234801257075985	-0.0634723455648998	0.239402760250625	0.12113287574429	0.174167152324389	-0.130568579360237	-0.271020485204542
"feces__J416"	-0.245864779359772	0.0283799070826233	0.0806334892161779	0.0335865889306472	-0.0509621310757039	-0.230100682209291	-0.290234798936129	0.117948452754178	-0.0839272861991383	0.385557178712543	0.148214512603489	-0.0198798733575572	-0.0988566404970221	0.266631994195354	0.142821378211908	0.178338019721774	0.056302249428447	-0.0591519011291288	-0.0377290006705921	-0.333822977754934	-0.0433891971435265	-0.0296988161774488	0.203656624363218	0.083479617155527	-0.123748529074153	0.0690858335680181	-0.17060908754538	-0.053662144056656	0.106687271631669
"feces__J417"	-0.219920761880965	0.162748084555966	0.132407967249849	0.0578401246514803	0.239706202000565	0.0380655848372179	0.169919916567061	-0.251450747413413	-0.0269336976425317	-0.090380703047346	0.108544919244279	0.175779411815114	-0.265234771541929	0.272692080230935	0.149012565527879	-0.0408299041822467	0.0396418158785092	0.0297234210066405	0.386686257475476	0.138155736208656	0.0518199267713252	0.14067832585816	0.143762037007819	0.114253928171396	0.00791523728787728	-0.0351656319465723	0.183416733155982	0.0178805182243238	0.10528454247026
"feces__J418"	0.0981385001870728	-0.144891790204824	0.27884890240048	-0.0775700182297822	0.140695777082334	0.0424754035651994	-0.000435793276511848	-0.0256518605416106	-0.000503014935511092	0.306314316173597	0.0516911616959659	0.0352454862977902	-0.0155526223613866	-0.215590583190233	0.00115921019626438	-0.00354446942064819	0.0942149882965024	0.0144792699644718	-0.0850710400421831	0.030954504517782	-0.0420786014197261	-0.134899499673475	0.194763216369516	0.221814878250095	-0.0278898966004859	0.0717751272796336	0.1527842954925	0.328288646809344	-0.251973136051946
"feces__J419"	0.154012799380818	-0.164926661441653	-0.116387305111905	0.0362319729699484	0.128163158382612	-0.0828895458463136	-0.162003097105	0.170262499306918	0.150383912100742	0.0769841448921836	0.0356810851547348	0.205855141809452	0.129359886121723	-0.0316192434155864	0.00728426839537446	-0.00872107828904087	-0.0607376268174489	-0.10512079825701	0.0705844009037927	0.0114902366346183	0.0137586831940327	0.430902683962709	-0.212266790537164	-0.026313963721418	0.0512401318303875	0.107661730294529	0.168975675567968	0.44395495525157	-0.0175312017624814
"feces__J420"	0.113590360724631	-0.171143487851575	-0.117904977325222	-0.129144270617777	0.118217535436515	-0.060428743222928	-0.021918671628389	-0.00537362034335658	0.0627677046556666	0.0325818790520616	0.146558756869151	-0.237514835295612	-0.0662879122734076	0.0167424014794584	0.0903032041672596	-0.0332971112808477	-0.113096321257765	0.141871378891857	-6.28265797067637e-05	0.23404237957089	-0.0281313985027036	-0.198391511550441	-0.294810899228381	0.161604780422777	-0.042621625361406	0.123108593182509	-0.0223855494565454	-0.184092209039491	-0.222140125438943
"feces__J421"	-0.168966092421136	-0.112423531951099	0.139383241246255	-0.145511142278632	0.0302841779412841	0.0480347939271588	0.217405505833224	-0.0311141631368498	0.0825006230694633	0.164911530830066	0.0765009745675681	-0.396747974277056	0.206010524029281	-0.29734248372628	-0.100483038389842	0.00034542758741169	0.0727278865004416	-0.0641330980922297	0.193353286569768	-0.146153503339207	0.165434381036443	0.1374608375774	0.0551319039203425	0.144058430175142	0.189224376581205	0.0403062931756848	0.0297720197168221	-0.0200196931353196	-0.000765984857896117
"feces__J422"	0.0627410608056993	0.0706243635507474	0.110056801474272	0.0344411283185323	0.0180230404535834	0.0418562570228713	-0.0171116410572588	-0.0984685222142506	-0.0142314886751856	0.0296459975733685	-0.279608911137543	0.220027259769281	-0.0930893994609679	-0.155735583902556	0.307439434686306	0.201257689156436	0.027604540852927	-0.0873132310979896	-0.159576820349739	-0.0361269946791584	-0.002346025463745	0.293848296900752	-0.132743644580491	0.0577736952471663	0.456279648845502	-0.0564427819227026	-0.0351775453996619	-0.30477343739881	-0.0545818275916244
"feces__J423"	-0.173163787827187	0.0635984466295205	0.171987272774833	0.192772249560119	0.025236173797758	-0.0853456299214097	0.0032433444584733	0.106338739137512	0.212841683520052	0.0102379908335223	-0.0410785285291188	-0.0989541583893636	-0.0461475885004793	0.283317456185757	-0.367084466019642	-0.219674221706864	-0.0941506595731398	-0.246969918319204	0.0903035999678157	0.0059545640927052	-0.0638739476862541	-0.0289701071770438	-0.118945701919799	0.109838981267791	0.0907311400446223	-0.241701757670158	0.330929962482473	-0.209560920582462	-0.226064617191593
"feces__J424"	0.00658890357357591	0.211946591569146	0.0971779299722026	-0.300093890067756	0.20027583658616	0.16219979481003	-0.113387185073048	-0.0511301215327922	0.0266489099702044	0.28025019328293	-0.161461913183827	0.0778073422042523	0.106315656449042	0.124958151153895	0.0032376906388817	-0.280850847132131	-0.140093615796754	0.192716502462444	-0.192086302353228	-0.0326319578566849	-0.11892611288397	0.0841571925175982	-0.0581486690051342	-0.299053714140377	-0.255597648443923	-0.101303962527377	-0.0116577928864027	-0.043292797084763	0.0295510261774945
