"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"
"feces__J411"	-0.0915395024513203	0.0416416470160222	-0.0133656898548435	-0.348277334459638	0.354785968515695	0.20065712277904	-0.1032264589014	-0.0173131748215243	0.211716457094298	0.00614611875758935	0.179743871976299	0.0709768546035414	0.0917429957888024	0.292017453943075	0.0685408694548576	0.0122797185149296	0.272319969482806	-0.0386490061616478	-0.147428530470993	-0.0681919257712364	-0.0743302133741233	-0.0177963980144213
"feces__J412"	0.121009020665225	0.0277926826310722	-0.0463170365029466	-0.14587981942084	-0.0204755061256827	0.092557234161992	-0.142172302187906	-0.120008124919318	-0.0778933764739537	-0.17532297550879	0.00909282762599608	-0.0765429276659994	0.107654085464021	-0.174542590844646	0.326045214219949	-0.00135724576855197	0.0124676123063985	-0.000822413738711386	-0.271367507265703	0.00676911459731544	0.264015270826327	0.0700092942805833
"feces__J413"	0.309179524435384	-0.0463465952142861	0.0636588531558093	0.0597725491439363	0.196399015084561	-0.0524685617925971	0.0235114983061657	0.252074499459637	-0.19414209139506	-0.120832433049957	0.0198627118104395	0.131515842101843	-0.195540498276346	0.118339963340738	-0.0181498860780217	-0.34264935237164	-0.196232320954369	-0.095101702443753	-0.0199914604569364	-0.130971660704402	0.120982895377515	0.0223386857159113
"feces__J414"	-0.0014305558525467	0.153066440590452	-0.0146499780377768	0.0731730221370028	-0.206015912779527	0.0910734176416264	0.0937936590077412	-0.160881801094012	-0.0892438418011039	-0.2450259983146	0.221228170326356	0.175360962228664	-0.088497131431041	0.0768690844050986	-0.189029901449868	0.0569327938160081	0.201030579000382	0.117173557975958	0.104799041888626	0.288694739744559	0.103961178427522	-0.177566914389579
"feces__J415"	0.1166688534699	0.171471813247576	-0.119648653677168	0.0161814673064974	-0.115117347885711	-0.0200654503361341	0.285093679503308	-0.107448894576176	-0.140139129006042	0.140769306992309	0.0375423982273794	-0.00875504560355611	0.221695421217597	0.262254728170199	-0.0639936536767428	-0.0781832669974505	-0.144144131602322	-0.117123409743017	0.0042610615795994	-0.116151778517996	0.0604080750499323	0.0721052947570405
"feces__J416"	-0.205331532008121	-0.00749831023207263	0.00914268672139006	0.0882794802280663	0.273590584967852	-0.0951907882778846	0.120097361067502	0.0304505886355808	-0.00853544307407264	-0.158536598540903	-0.00825705279966054	-0.225760976862588	-0.105627302096809	0.0674417144676211	0.457180704136732	0.332252001058084	-0.122505025429263	0.128095102026878	0.285582641555142	-0.00432920104073748	-0.143795777548437	-0.247536883004065
"feces__J417"	-0.0615389290498929	-0.179845227291765	-0.136411083306244	0.144824187644276	0.111245516672101	0.389559489092191	0.00861770623479323	-0.0260512400956813	-0.195692473874163	-0.1219987205395	0.0780810402774701	0.192024494064199	-0.0787216772390852	0.0682670848254977	-0.0224808072801078	-0.221129600289373	0.0650625036418334	-0.0115913341378084	0.186080921927503	-0.00456110153058159	-0.0874684208023251	0.0320971954918175
"feces__J418"	0.210342312502641	0.0462489823311863	-0.166716208562444	0.119594540558196	0.118976659906943	-0.220830036723605	-0.185055902221132	-0.244186661041872	-0.131032527481462	-0.0798523969310074	-0.0541192813394589	-0.220089353611891	0.215706987390121	-0.078546474510104	-0.153761204401045	0.0143229256536468	0.183380819779488	-0.098567660681074	0.0990605991587439	0.105477293833712	-0.0432662960255604	-0.0973499433911279
"feces__J419"	0.11231088286462	0.245209977508087	0.0663781623490754	0.00787047247935068	0.133540707360377	-0.0720103327811645	0.127609554999923	0.241298732624084	-0.101919487188061	-0.110640576285467	0.00610375955046276	0.0501108656653802	-0.0792086277379149	-0.144853863011789	-0.0729696812064719	0.011805788166034	-0.201428195678348	-0.0735459907747339	-0.329267325517143	0.111566909860979	-0.0173020860078249	0.00770143326742797
"feces__J420"	0.111713157641718	0.126751062828211	-0.0598241840270066	-0.114054900004156	0.186624439408528	-0.146378343419734	0.029202654173328	-0.0242258624473231	-0.24271013779586	-0.00884272841000212	0.136964076122559	0.127842106382482	-0.139384299051612	-0.0497270166119236	0.224192008072204	-0.0669397657818582	-0.051505408455068	-0.0788642527382995	0.0782577453278011	0.236557753040765	-0.0126006248375454	0.196425947194677
