"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"
"X17"	-0.360769544149745	0.366843415978497	0.10635278710342	0.104927292257628	0.00169790147087692	-0.0218915550647932	0.227159042729989	-0.0878937776081268	-0.293045805772241	-0.0706546485417884	0.0496722532827378	0.214774905939493	-0.301912472638428	0.0288278541787096	0.117265874142298	0.171793411475403	0.0187205158772413	0.196135213735052	0.120323283152059	0.0311318110318408	-0.0830793784303422	0.219562952683828	-0.22816095698868	0.101981130099886	0.00959137671538892	0.113109262520804	-0.0162779389348059	0.0122758720422166	-0.0149685371464651	0.131015584326048	-0.110535511933546	0.120584810888478	-0.00135337390753277	-0.221531262980779	0.0281708257663562	0.0930755110935457	-0.101733607740725	0.0140116122056587	-0.101525874820619	-0.108293390333901	-0.184996024200411
"X8.1"	0.152209852104891	0.113046566149947	-0.0111444311200819	-0.0681615246481776	-0.0671873054450767	-0.121754579105737	-0.00203928772657672	-0.0287003731779629	-0.0663659400688759	-0.0935459980530249	-0.188055419937284	-0.0787625970929468	-0.0896662264396726	-0.00160938368219032	-0.157366021590598	-0.0425450440690355	0.122690398417642	-0.107631381332518	0.0392043438736909	0.141820598429378	0.110484618162977	0.116338944886161	-0.0951721603204484	-0.0431770690225006	-0.13257340952	-0.172828360026224	0.0752200573629413	-0.217566153113842	-0.119506027073342	-0.247364933293254	-0.117741666289696	0.182642838210137	0.230017787904953	0.03239743049814	0.295781579048262	0.266208551749089	-0.200231303715523	0.237751262622856	0.39213711810569	0.233705365259724	-0.0237627090750282
"X1"	0.160916486832014	0.0200728229791231	-0.0234185723098796	-0.298657333114588	0.0209102836758279	0.275907678075113	-0.0278394548770704	-0.18467666938921	-0.0383983828281991	0.159795959123867	-0.0597224060969853	0.192876382774849	-0.206794904091151	0.0878312432398735	0.152173797905761	-0.171449825259785	-0.0864140879264122	0.234336910592532	0.162764828477935	0.354133693685615	-0.00736189431061612	-0.0537763951937048	0.103998891881158	-0.0434391604801591	-0.0503124897714833	-0.0930533146987147	-0.294753682456959	0.0781315463637347	-0.054185181264115	-0.126303327491185	0.121953949106605	0.0794775087351022	-0.0408080807041737	0.21236458718033	0.177141913975029	-0.0375524141951306	-0.0697519313407992	-0.331504832341079	-0.0818456452192803	0.0176710878485631	0.0488626921275679
"X4.1"	-0.0594437594862701	0.0223962954062909	0.39811019157699	-0.0871704506816342	-0.139073946031384	0.0151500041425652	-0.0328835137107555	-0.233775767848058	0.192174242926017	-0.311227782093727	0.0385252280516311	-0.489578035021816	0.133469730023035	0.163270121965047	0.270290426129564	0.0403137468251989	0.0226486532635423	-0.0240502621813869	-0.16734037014279	0.0900520178066103	0.156900221356793	0.166075889582821	0.112531507973612	0.111603684232255	-0.104576324627945	-0.00915599338666107	0.0614308807024429	0.0822928586956589	-0.0640992489539998	0.0676835096092046	0.144287021273691	0.100778062382818	0.00451780678659766	0.035805724862773	0.0874342478338614	-0.0294287173986297	-0.0529121891328045	-0.0618559862475646	-0.0927064743503676	-0.145923935914501	-0.120682498096223
"X1.1"	0.151318233122556	0.135288151239823	0.243921295696479	0.150973136524475	0.106664237489979	0.0467835959461339	0.0531421948528186	0.0341882646886269	0.349299825320911	0.123928568523141	-0.0331194142888758	-0.0606526897273258	-0.00531707827540501	-0.0486783773265736	-0.258825990196138	-0.223469647204336	0.144665800869387	-0.179863168508063	0.382270486517069	0.13538713858177	-0.155037175944781	0.0773527205638973	0.101931735828809	-0.130623732593906	0.00288318884395586	0.0404978044284768	-0.112511378090564	0.0725768190736786	0.0802085193543654	0.115276707169191	-0.0725278771167399	-0.256872918441632	-0.148078156149223	-0.273440620628838	0.151289495565367	-0.0549770107344767	-0.0821845181385451	0.0837018137478674	-0.00318863664606495	-0.167445166249273	-0.15329828684103
"X13"	-0.320142039942054	-0.193595414899643	0.0390970300876258	-0.0990476903442468	0.292808285031961	-0.211904000346808	-0.269025557195461	0.26329822372492	0.0658385222583797	-0.181629537285811	0.119704449009422	0.0518796401232923	-0.237675749568497	0.308376307953885	0.0690891760320665	0.129559415216598	0.0141788578278859	-0.276499438817765	0.020341432743686	0.129717802060775	-0.133717232773063	-0.0598318322702036	-0.00467769310638744	-0.304337277977225	-0.199885499002878	0.078098892585839	-0.0333965371250274	0.0737961234920064	-0.0624880304553286	-0.0679080869854478	-0.132579506292923	-0.0239470664415711	-0.0551309449949175	0.0767861194337561	-0.0447416118097496	0.0112193671979805	-0.0505548513832729	-0.0988430699090484	0.0443045442485579	-0.0106350398098211	0.110940534022999
"X5.1"	-0.107491386638446	-0.349740587408261	0.205490591318321	0.0102423539705144	0.318040033897476	0.312940735080225	0.198093346137111	0.143968639259101	0.115006664447721	0.138830870173984	0.0142488085698159	-0.134925293084926	-0.0353238993530598	-0.130643391046245	-0.0613076480265065	-0.0573675024343756	0.0452207475493271	0.0745157278377821	-0.069487462473222	-0.128606220494748	-0.258602892663062	0.096504331494351	-0.327638605525513	0.321110136340318	-0.128721377048193	-0.142444045589566	-0.00222155774180832	-0.109676367938539	-0.0710484223447201	-0.025194180215668	-0.028266516767275	0.119430362436483	0.138069344419057	0.0123467494897517	0.00982505573037177	-0.102894756151805	0.089923797723011	-0.125971370462308	0.14264235359025	0.00244074975744063	0.0721434195094091
"X4.2"	0.111998324862067	0.0693248897749623	0.000414470180018924	-0.130416950331506	-0.0366840999985491	0.134071242225902	0.0833952740990591	-0.0867237626469751	0.104045219710404	-0.159603784281952	-0.188094028735709	0.0279404402853434	-0.146835415556685	0.170320353062981	0.0643890777591272	-0.0449542211666401	-0.0256882561267759	-0.0368280241351646	-0.105452738896847	-0.00564734876933629	-0.0172646704079136	-0.216920379966989	-0.10309067000826	0.072895177595019	0.104123007144125	-0.0806329073996375	0.340711799362451	0.00539016059520193	0.261951716220611	-0.463809001937411	-0.265306708306887	-0.0475235737052885	-0.146827974842401	-0.328202354233804	-0.0948924775606135	-0.0985428055822054	0.135417945241227	-0.00195610778639605	-0.187796305149591	0.0192391384492784	0.102798553779193
"X5.2"	0.0463277770798353	0.211244593586217	0.0188912444459033	-0.0827620675275496	0.158352152679489	-0.142127164956006	-0.14602488760477	-0.0366242974551129	0.00121050454488634	0.109339659503123	-0.264517754157646	0.0872249153846817	0.159009468079697	0.121006352276778	0.0844859967325988	0.0410062534985298	-0.184431548470785	-0.0138916938341425	0.0899620069837535	-0.252269177542546	0.0440947689397694	-0.0336355697010946	0.205328108738025	0.149928444871151	-0.134829141753795	0.0374663743108653	-0.144263000622622	0.178049920972203	0.0504600205402316	0.00274664027142598	-0.112197429178285	0.00193927633471452	0.540756070676272	-0.165719632135713	-0.173419222295245	-0.207445920059297	0.0472018653432274	-0.114818875797986	0.195167058397921	-0.0655702729853426	-0.0656278829906767
"X9"	-0.0861530114383411	0.226662833090891	0.149425074399479	0.0318201276623331	0.0940319614492592	0.265478037460229	-0.12014216389901	0.40100178763792	0.0335268723166035	0.289860679745442	-0.192738836363371	-0.0472942965169265	0.0650321521618409	-0.152289877034035	0.243747135766188	0.288171666587918	0.00802671911837147	0.0347450913356635	-0.050041281658586	-0.130541595114376	0.0928920584697179	-0.0248528364230787	0.102351166002915	-0.0602456173520731	0.062807657747229	-0.122387652446259	-0.00820117985558846	0.168461146071603	0.0387383252828668	-0.21779116158045	0.157978465058852	-0.0228632582370866	-0.182134000069423	0.13561375871042	-0.0360086858959588	0.186288514315374	-0.160214911684363	0.252748544546862	-0.034424600839404	0.0139086271400748	-0.0253758535757605
