"MDS1"	"MDS2"	"MDS3"	"MDS4"	"MDS5"	"MDS6"	"MDS7"	"MDS8"	"MDS9"	"MDS10"	"MDS11"	"MDS12"	"MDS13"	"MDS14"	"MDS15"	"MDS16"	"MDS17"	"MDS18"	"MDS19"	"MDS20"	"MDS21"	"MDS22"	"MDS23"	"MDS24"	"MDS25"	"MDS26"	"MDS27"	"MDS28"	"MDS29"	"MDS30"	"MDS31"	"MDS32"	"MDS33"	"MDS34"	"MDS35"	"MDS36"	"MDS37"	"MDS38"	"MDS39"	"MDS40"	"MDS41"
"X17"	-0.174808989046699	-0.43140438813806	0.000279645306435279	0.124275486279286	0.0362214549705937	0.143643274097003	-0.21819374753921	0.160134462762748	0.202302639715504	0.0699562453550813	0.183361434433732	0.118885818257723	-0.117026640706765	0.371846921502976	-0.102298641758803	-0.161346702682296	0.0114644635517826	-0.211402803734763	-0.080679979483744	0.149429451202694	0.0195916306976315	-0.0186056050481807	0.268241200165698	-0.0671593340904324	0.0685022045491445	-0.134527862001878	0.0671270416636335	0.236459034354902	0.0987555581541635	0.225079354016154	-0.0337973545700244	-0.0802823100907894	-0.161325890698909	0.0726072349070908	-0.118063128430866	0.10141908535154	-0.0496435766242114	0.0619724683307472	-0.0533036384019037	-0.00817435345748407	-0.00647555354056206
"X8.1"	0.192625300143191	-0.046681765261651	-0.000338534327023072	-0.0653539724014849	0.0487701652022802	0.115246537154361	0.0131561995464137	0.0412668477621156	-0.0025105582893412	0.124642744403448	0.160913888107334	0.0779817020930264	0.111563536737114	-0.0847339243234474	-0.203197851148986	-0.00659186022962058	0.00768984882105801	0.140083971327885	-0.229372531570737	-0.126822794333464	-0.192245636372686	0.0805255001734761	0.0421062298943059	-0.00451531189790578	0.109940715542239	-0.00392932965945324	0.0473864903826036	-0.143601157267361	0.268129826683321	-0.208090228137781	-0.469134367055237	0.198616689775778	-0.199074592188386	0.00470043743425186	-0.0408652864982799	-0.063253005945172	-0.228418629077458	-0.0674134702557473	0.32936004345126	0.100321603694666	0.206696162780934
"X1"	0.139257997519567	0.0546626266464963	0.159493801072931	-0.335776273019326	-0.0768344000737211	-0.1671090122551	-0.0608508397096712	-0.0303533401756083	-0.155511766402982	0.0832016249901278	0.117938429004873	0.0265652243903909	0.212938842291402	0.270372802832306	-0.24934208613278	0.163570924831051	-0.212376196183709	-0.0605572062328403	-0.200837544475461	0.142114661173685	0.287978575849521	0.189601703746282	-0.0133774069738794	0.186400364475966	0.0818246254394113	0.164713392118196	0.0338854511963703	0.164145165492805	-0.277057506343369	-0.142144349219449	-0.00462246350811221	-0.00496122764854401	-0.0916615537363458	-0.114384878846086	-0.120248281848541	0.0130962496899254	0.253946504908641	-0.00740989642584663	-0.0321197297957258	-0.0171159495082875	0.00756857117692217
"X4.1"	-0.0398728175590493	0.0156414567800546	0.410185570010645	0.0610652602388318	0.0561553378094332	0.0747254883741375	0.183879501712157	-0.10320143768012	-0.0600449645913626	0.0291346842554188	-0.0549818574866639	0.247321249179372	-0.364673610077013	-0.293751868925812	0.0147911550326072	0.100337965048104	-0.221372642953785	-0.214454174190417	-0.0481620165789376	-0.104653492792391	-0.107574346766089	0.199914295224978	0.00249227233376637	-0.030067525304861	-0.151414070348111	-0.105597842092084	0.346586312788517	0.0128584354588729	0.026010033083775	-0.102906380805032	-0.00606176734773055	-0.0777275239461721	-0.146206470724294	-0.0596229692398284	-0.0567256347967974	0.027480192016383	0.0305504890839775	0.0554623282460445	-0.214672097854872	-0.190420211187284	0.0573018676778104
"X1.1"	0.242870208525654	-0.0661162819470977	0.194469773306311	0.22972614203894	-0.075335710212601	-0.0403841754981716	-0.00258726972109206	-0.255484161134037	0.143830016238499	-0.148166049345243	-0.0162985103000002	0.026465174046689	0.261805094908566	-0.0793288935137093	-0.0729163157716743	-0.386106317579845	-0.0718392289195765	0.104002315031604	0.0959300254307965	0.0624094059818408	0.0433104478049878	0.300625574062868	-0.102477954559596	-0.0873624553107378	-0.0736336599761419	0.205559356723539	-0.130798583514588	-0.0246577391016475	0.180145066608655	0.086851883378175	0.130945379443142	-0.193366332829243	-0.0216733966702723	0.149950261873127	-0.130032834945478	-0.161753431881337	0.0475434602419429	0.275619268938666	-0.0398989319670746	0.154989889001339	0.0869807918464346
"X13"	-0.297066404504752	0.0472580245981876	0.00264503722668869	0.0345024729180667	-0.2631600782528	0.046756373725209	-0.121038237864776	-0.0794335869445872	0.166773517618792	0.217194741187228	-0.246161620152138	-0.0862693945111487	0.103294594927615	0.0722303138679496	-0.071449305028094	0.0494807379697741	-0.00611957653720002	0.0700170290254863	0.276726134660879	-0.379731637661496	0.185370525773281	0.0112440305464223	0.225202704256788	0.297585753422882	-0.242702628334111	0.205983494402742	0.190284293521672	0.0369833533393011	0.162829114229655	-0.0434177931921616	0.0967845426103653	0.162231679503318	-0.0833528293065759	-0.0345013688654059	0.0111782013336496	-0.0112138317096058	-0.0506730545115924	-0.0054063216257796	0.109992043305279	-0.00122617237727196	0.00955419389252665
"X5.1"	-0.212549362499435	0.281318468811216	0.100565180709366	0.0636445603339459	-0.108571887701037	-0.160137714371863	-0.21737744364778	-0.221624542322485	0.083098924915007	0.0444825755305845	0.137797573392504	0.112505923707002	0.103107495116171	0.00605508296706254	0.118149158403168	-0.0927848632954878	-0.162788374056661	0.0339238381583174	0.126317682739815	0.066420328745065	-0.198051739023142	-0.094936083841424	0.252275769242551	-0.244669400018861	0.0467504043088443	-0.0819657679947891	-0.15893195217397	0.10977674175873	0.0575326305597258	-0.242282081222981	-0.331494515023417	-0.0646049868462126	0.10718129928737	-0.0361562629414671	0.154560099798854	-0.024295847277373	0.233606074891305	-0.120471472196149	-0.0761771141457049	0.00920527481143527	-0.275398366633392
"X4.2"	0.130030052173386	-0.0499472210137408	0.0456850411412345	-0.179764656158271	0.149426414031168	-0.0943229639794261	-0.0234924425127305	-0.285174677955539	-0.103292438223445	0.091760712709463	0.266504506289	-0.0978385772244962	-0.114560816146271	-0.0918753661179705	0.0243988517614647	0.0125119076434529	-0.0585263779386517	-0.225494015058006	-0.0971983858564008	-0.293164016502689	-0.046941378459212	-0.179196142866704	-0.0626519892818529	0.0140336168867765	-0.256466324068005	-0.0677474996722891	-0.350893709608365	0.133306543079915	0.100815550761166	0.221660057682343	0.17348569009909	0.307006778213898	-0.0632578151061318	0.174366735182064	-0.0121247274777641	0.0893393437084142	0.0867277136085494	0.0658239768911242	0.14226686884287	0.0361456225516586	-0.168327231240724
"X5.2"	0.155477844249165	-0.143385983835968	0.0321682615708627	-0.0916856826028452	-0.272157104428049	0.15717468781107	-0.123324254047104	-0.0498009861739989	-0.111753926413778	-0.0556014269931012	-0.119182052896676	-0.136334036536492	0.0553662153519662	-0.238366968036699	-0.18540983137096	0.119567745055162	0.177889968472079	-0.0850285255376029	-0.0188886436164052	0.143736868901524	0.00178062394682071	-0.0936680875166926	0.104864054583451	0.126869879506052	-0.198127758537183	-0.0845476193376501	0.130153042437737	-0.150923481998449	-0.235247125358873	0.239196986750974	-0.331396765933483	-0.185854207481723	0.0652783266532646	0.27454037011638	0.151639963115568	-0.108964351042175	-0.0224460973814608	0.0770906383895679	-0.0207033360935772	0.0129527338002178	-0.297113404304974
"X9"	-0.042644644475962	-0.132664093701126	0.282449869117191	0.0416715982339136	0.0143360933916847	-0.143367548410822	-0.31901144283048	0.0160041962811783	-0.250517311119527	-0.417846979723666	-0.105232650673117	0.0263455041279536	0.116319725505906	0.103041233621793	0.0585762389269974	0.0530497463342997	0.190799566487226	-0.117715832658525	0.279288687573166	0.0600799268388905	-0.15836098524351	-0.236867216266384	-0.172800023012731	0.0833710373988753	-0.00486930228690991	-0.146262732071078	0.0751451300525809	-0.0417047523859475	-0.0217674453858003	-0.162538002849602	-0.00367169995793179	0.257821176524136	-0.0201602230314518	-0.0499274906577359	-0.233408150058239	-0.0339597840043739	-0.0126428258310935	-0.00421117795745063	0.00432800272080597	0.0819674691158303	0.18831381379432
