sample	Actinomycetales	Anaeroplasmatales	Bacillales	Bacteroidales	Bdellovibrionales	Bifidobacteriales	Burkholderiales	Campylobacterales	Caulobacterales	Clostridiales	Coriobacteriales	Cytophagales	Deferribacterales	Deinococcales	Desulfovibrionales	Enterobacteriales	Erysipelotrichales	Flavobacteriales	Lactobacillales	Myxococcales	Neisseriales	Pasteurellales	Pseudomonadales	Rhizobiales	Rhodobacterales	Rhodocyclales	Rhodospirillales	Selenomonadales	Sphingobacteriales	Sphingomonadales	Synergistales	Thermoleophilales	Verrucomicrobiales	Victivallales	Xanthomonadales
feces__J411	1.0208252349743216	1.7215989389410173	0.3127226254441049	3.7374879455257655	0.0	1.100382870030767	2.0681991347151247	0.0	0.0	4.3371345200960825	1.7302079339430778	0.0	1.344226369824841	0.0	2.181285070759187	1.2771007201091298	1.0624232636657414	1.815107710174831	2.654469942804301	0.0	0.0	0.0	0.0	1.1352896544786357	0.0	0.0	1.9148850420682586	1.0624232636657414	0.0	0.4926425024468136	0.0	0.3127226254441049	0.0	1.0208252349743216	0.0
feces__J412	0.0	1.0525116502992669	0.0	4.179236339473441	0.30718062362965787	2.315351490694168	2.749385945029666	0.0	0.0	4.047243534663908	1.818207091008252	0.0	1.29033454497584	0.0	2.185320784442999	1.9258822988265485	1.7021655542212535	1.5681831473232475	2.7800924242705567	0.0	0.0	0.0	0.0	0.30718062362965787	0.0	0.0	2.3110079073261556	1.2155818697565548	0.0	0.0	0.30718062362965787	0.0	0.0	1.0110091729018986	0.0
feces__J413	0.9632487095857639	0.7866000017262312	0.0	4.152288621064255	0.3061189440263455	3.210689580019573	3.4440450387344006	0.0	0.0	3.8827399936716995	2.348529566288482	0.0	0.7866000017262312	0.0	1.3899132481581886	1.5896392625427953	1.2399791263978075	1.2399791263978075	3.1118581166705104	0.0	0.0	0.0	1.123292242563878	0.3061189440263455	0.0	0.0	2.5759395942819148	0.7866000017262312	0.0	0.7070839426200151	0.0	0.0	0.9119568920036685	0.0	0.4838933535910606
feces__J414	0.0	0.3125314891746612	0.0	4.120308794997583	0.6191999887438479	1.946722071819081	2.547684996730843	0.0	0.0	4.1390798020490065	1.9089095532422566	0.7971545977279512	1.9815044489354348	0.0	2.086973466084605	0.8646323079230913	1.885725934470044	1.4197604242839588	2.332227941578801	0.0	0.0	0.0	0.4923898730018458	0.4923898730018458	0.0	0.0	2.3550417837899027	0.8646323079230913	0.3125314891746612	0.3125314891746612	0.0	0.0	0.0	0.3125314891746612	0.0
feces__J415	1.0690481671639525	0.5292949740955873	0.34073605379273214	4.066593386209251	0.0	2.733942055623397	2.59962153334375	0.0	0.0	4.13681361058672	1.520742347428999	0.5292949740955873	1.3949671499931422	0.0	1.9384498240638877	0.9110955702772756	2.2339616288445523	1.5360687525372843	3.0523603500708263	0.0	0.0	0.0	0.5292949740955873	0.34073605379273214	0.0	0.0	2.6636146614689764	0.9110955702772756	0.0	0.0	0.34073605379273214	0.0	0.0	0.760866396226074	0.34073605379273214
feces__J416	0.4773781771883683	0.9545850389660974	0.3012227017633271	4.051769376937505	0.4773781771883683	0.0	2.2745411272862186	0.0	0.3012227017633271	4.205345916818554	1.929799721174131	0.4773781771883683	1.6438292495848144	0.0	1.991607472241731	0.602349018420974	0.7784723797278461	0.602349018420974	2.5947768970626606	0.3012227017633271	0.0	0.0	0.3012227017633271	0.0	0.0	0.0	2.0867420003768418	0.7784723797278461	0.0	0.0	0.0	0.0	0.3012227017633271	0.3012227017633271	0.0
feces__J417	0.0	0.43573501386745955	0.0	4.228800038219822	0.0	0.43573501386745955	2.4403466500633333	0.0	0.0	4.028751444247334	1.708353606431197	0.7257714428374642	1.0873389421949273	0.0	1.2618129905943134	0.9839222993794355	1.2618129905943134	1.456927688488104	2.2830027934757733	0.0	0.0	0.0	0.0	0.43573501386745955	0.2703658912527852	0.0	1.506391878336042	0.9839222993794355	0.0	0.43573501386745955	0.0	0.0	0.5552117520751065	0.0	0.0
feces__J418	0.4723711742152003	0.8389811961326387	0.4723711742152003	4.155599331897366	0.29747231483053466	2.806447307651491	2.7292649735485726	0.0	0.0	4.063300115908675	2.252966221140488	0.4723711742152003	0.9478974528913797	0.0	1.8254700920378308	1.4244857445668282	1.8850422032203051	1.1394975445550473	2.8719606491146763	0.0	0.0	0.0	0.29747231483053466	0.0	0.29747231483053466	0.0	1.9274374621725838	1.0349023399050077	0.29747231483053466	0.0	0.0	0.0	0.0	0.29747231483053466	0.0
feces__J419	0.8756307675926929	1.032004438853336	0.0	4.097772531912768	0.0	3.1721148994495625	3.02882085807891	0.0	0.0	4.045800610765134	2.14236331949638	0.5010520211949021	1.67809811791426	0.0	2.3737196014088418	0.9342365338045344	1.7249205355373791	1.4813607280608452	3.1284630135163667	0.0	0.0	0.0	0.6288914725058291	0.8756307675926929	0.0	0.0	2.2473980438220513	0.9858658721423862	0.0	0.8078642004519283	0.0	0.0	0.0	1.0737086650688963	0.3191005547542503
feces__J420	1.1866877318377556	1.0811392430730704	0.0	4.099476009133949	0.0	2.9572915846880896	2.247389288130962	0.0	0.0	4.095718152595573	2.0208156526459695	0.3233392308675	1.3200964635613992	0.0	2.143569951574138	1.4733552947011237	1.7587343579024002	1.5044956834934702	3.2033674281524864	0.0	0.0	0.0	0.3233392308675	0.7341346370420786	0.0	0.0	2.0387448745959493	1.0393665717532903	0.0	0.0	0.0	0.0	0.0	1.4034515559344176	0.5066193030489332
feces__J421	0.4509632199082173	1.193044580123235	0.0	4.164948016419356	0.6673858418222987	0.8111674789324529	1.7461609060197474	0.0	0.0	4.103789607368282	2.210801797987977	0.5725185796231137	1.3420942419083954	0.0	2.1336136751472043	1.3597537168212315	2.2058971266528595	0.7451998964500379	2.4968271317933612	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.6511944231806468	0.9643012830210387	0.28156065205978037	0.0	0.0	0.0	0.0	0.0	0.0
feces__J422	0.31419334545989414	0.4945851945777979	0.31419334545989414	4.2248147655789055	0.0	2.413226048660394	2.828673501179499	0.0	0.0	3.9810468699720465	1.6975012142810137	0.0	1.5692874511685058	0.0	1.8036708124474072	1.9232476716188756	1.7813723081122004	0.9258704604243682	2.684849051112426	0.0	0.0	0.31419334545989414	0.6216583610010897	0.6216583610010897	0.0	0.0	2.2432707426908194	1.1379415302470783	0.0	0.4945851945777979	0.0	0.0	0.8674253521851301	0.0	0.0
