#OTU ID	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo101426	0	3	0	2	0	4	0	9	2	0	1	0	0	0	1	1	0	0	0	2	0	0	2	0	1	2	2	4	0	0	0	0	2	0	0	2	1	0	1	2	0	0
denovo101481	64	113	47	41	86	47	56	24	23	56	9	135	104	191	78	96	88	75	94	62	5	15	29	94	51	23	68	54	33	15	67	47	29	38	69	41	32	71	32	19	71	15
denovo101493	7	2	3	0	1	3	4	2	1	1	2	11	0	1	0	2	0	3	0	3	4	2	0	0	1	3	0	1	0	0	1	1	4	0	1	0	2	3	3	1	0	2
denovo101503	5	1	0	2	2	1	1	0	4	1	0	0	0	1	0	0	0	0	1	0	1	0	0	4	4	1	3	1	0	0	0	0	1	4	2	1	4	1	0	0	3	1
denovo101515	2	0	1	0	0	1	0	0	0	0	1	0	0	1	0	0	0	3	0	3	0	0	1	0	0	0	2	0	0	1	0	0	2	0	0	1	0	0	0	0	0	1
denovo101529	4	0	7	7	0	0	10	0	15	27	0	0	13	13	0	31	19	4	0	14	18	10	34	4	0	23	4	9	15	3	0	21	12	0	9	1	5	0	7	57	8	0
denovo101554	0	0	0	0	0	0	0	0	0	2	0	0	0	1	0	1	1	0	0	0	1	2	0	0	0	0	0	0	0	0	0	1	1	0	0	0	1	0	0	1	0	2
denovo101597	2	0	4	0	0	0	0	0	5	2	0	0	0	0	0	0	8	0	0	4	6	3	3	0	0	1	0	2	0	1	0	3	0	0	2	1	7	0	7	10	4	1
denovo101611	19	4	2	2	16	10	6	5	2	7	3	3	2	0	7	13	9	1	13	4	6	5	1	1	15	12	7	1	2	0	2	2	5	2	11	7	1	1	3	16	4	1
denovo101654	1	0	0	0	0	0	0	0	1	0	2	0	0	0	1	0	0	0	5	0	1	0	4	0	3	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	2
denovo101672	0	0	0	1	3	3	3	0	3	0	1	0	0	1	2	1	5	2	0	0	0	3	0	0	6	0	5	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1
denovo101722	0	3	0	0	2	0	1	0	0	0	0	3	0	0	3	0	2	7	0	0	0	1	0	2	0	0	2	0	1	0	1	0	3	6	1	1	0	0	0	0	0	0
denovo101823	6	1	0	1	6	0	0	0	3	1	0	0	2	1	1	1	0	2	0	0	1	7	1	1	0	0	2	8	3	0	2	1	0	4	2	3	0	7	2	0	1	0
denovo101832	2	0	1	1	1	3	0	0	0	0	0	0	2	0	0	0	1	0	0	1	0	0	1	3	4	0	3	0	2	0	0	1	0	2	0	0	1	0	1	1	1	0
denovo101852	0	0	0	2	0	0	0	0	0	2	0	1	0	1	0	0	0	1	0	0	1	1	0	0	0	0	1	0	0	2	0	0	0	0	0	0	1	0	0	0	1	0
denovo101855	0	1	1	1	1	1	0	0	2	1	0	0	0	0	0	1	0	0	0	1	0	1	4	0	0	0	3	0	0	0	0	0	0	2	0	0	2	0	2	0	1	0
denovo101856	0	2	1	0	0	0	3	0	0	0	0	1	0	0	0	0	0	2	0	0	0	0	1	0	0	1	0	0	0	0	0	0	1	0	0	0	2	2	1	0	0	1
denovo101873	2	2	0	0	0	2	0	4	1	1	5	2	0	3	2	1	1	3	2	4	4	0	0	0	0	1	0	3	0	0	4	3	2	1	3	3	4	1	0	3	1	2
denovo101892	0	1	0	20	3	1	1	4	1	0	15	10	5	2	1	3	1	8	2	9	1	6	5	5	9	0	0	0	13	3	27	0	0	6	5	0	3	8	1	0	2	4
denovo101973	0	2	0	0	1	1	0	0	0	0	0	0	1	0	0	0	0	0	0	2	5	0	0	3	0	0	1	0	1	0	0	2	0	0	0	0	0	1	0	0	0	0
denovo101980	8	12	0	0	0	3	1	9	1	0	4	2	2	0	1	0	5	3	4	5	0	4	0	5	6	0	3	3	3	5	5	12	9	0	0	3	6	13	0	0	0	1
denovo101982	0	0	0	0	0	0	1	0	0	0	1	0	1	5	0	2	1	0	0	3	1	1	1	0	0	3	0	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0
denovo102003	0	0	0	0	0	1	1	0	2	0	0	0	0	0	1	0	0	0	1	0	0	0	1	0	0	0	0	0	5	1	1	0	2	0	0	0	0	0	0	0	0	2
denovo102008	2	0	1	5	6	4	0	0	0	5	1	4	4	5	0	2	2	4	2	1	10	2	2	16	6	2	9	3	2	2	1	0	0	1	1	2	1	9	1	6	7	3
denovo102062	0	0	0	0	0	0	0	1	1	0	0	0	0	1	0	2	1	0	1	0	0	0	2	0	0	0	1	0	4	0	0	1	0	0	1	0	1	2	1	0	0	1
denovo102118	0	3	0	0	0	0	3	0	4	2	0	0	2	0	0	0	0	0	0	0	0	0	0	4	0	2	1	0	4	0	0	1	0	0	0	0	0	2	0	0	0	0
denovo102131	1	0	0	0	0	0	1	0	3	6	1	0	1	0	0	9	4	0	0	1	0	4	0	1	0	12	2	0	0	1	0	0	0	0	3	0	2	0	0	0	0	2
denovo102144	1	0	0	0	5	0	0	0	0	3	0	1	0	0	1	0	0	0	0	2	0	0	2	2	1	0	0	2	2	0	0	0	0	3	0	0	3	0	0	1	2	0
