sample	Acetobacteraceae	Actinomycetaceae	Aerococcaceae	Alcaligenaceae	Anaeroplasmataceae	Bacillaceae 1	Bacillaceae 2	Bacteroidaceae	Bacteroidales_incertae_sedis	Bdellovibrionaceae	Bifidobacteriaceae	Bradyrhizobiaceae	Burkholderiaceae	Burkholderiales_incertae_sedis	Carnobacteriaceae	Caulobacteraceae	Chitinophagaceae	Clostridiaceae 1	Clostridiaceae 2	Clostridiaceae 4	Clostridiales_Incertae Sedis XI	Clostridiales_Incertae Sedis XII	Clostridiales_Incertae Sedis XIII	Comamonadaceae	Coriobacteriaceae	Corynebacteriaceae	Cryomorphaceae	Cytophagaceae	Deferribacteraceae	Defluviitaleaceae	Deinococcaceae	Dermacoccaceae	Desulfohalobiaceae	Desulfomicrobiaceae	Desulfovibrionaceae	Dietziaceae	Enterobacteriaceae	Enterococcaceae	Erysipelotrichaceae	Eubacteriaceae	Flavobacteriaceae	Gracilibacteraceae	Helicobacteraceae	Lachnospiraceae	Lactobacillaceae	Leuconostocaceae	Marinilabiaceae	Marinilabiliaceae	Methylobacteriaceae	Microbacteriaceae	Micrococcaceae	Moraxellaceae	Neisseriaceae	Nocardiaceae	Oxalobacteraceae	Pasteurellaceae	Peptococcaceae 1	Peptococcaceae 2	Peptostreptococcaceae	Phaselicystidaceae	Phyllobacteriaceae	Polyangiaceae	Porphyromonadaceae	Prevotellaceae	Propionibacteriaceae	Pseudomonadaceae	Rhizobiaceae	Rhizobiales_incertae_sedis	Rhodobacteraceae	Rhodocyclaceae	Rhodospirillaceae	Rikenellaceae	Ruminococcaceae	Sphingobacteriaceae	Sphingomonadaceae	Staphylococcaceae	Streptococcaceae	Sutterellaceae	Synergistaceae	Thermoleophilaceae	Veillonellaceae	Verrucomicrobiaceae	Victivallaceae	Xanthomonadaceae
feces__J411	0.0	0.0	0.0	0.0	1.7306855840278352	0.0	0.31750060035822947	2.9003534506933266	0.0	0.0	1.1089157192899095	0.4989461154515954	0.31750060035822947	0.0	0.0	0.0	0.0	2.199444598285809	0.0	0.0	0.6265374278339034	0.0	1.3733431121886925	0.0	1.739297994594015	0.4989461154515954	0.6265374278339034	0.0	1.3530720442377686	0.7250312443261956	0.0	0.0	0.8052651596146715	0.983105217128229	2.065474417851261	0.0	1.2858769974964446	0.0	1.0708895776504337	1.0708895776504337	0.4989461154515954	0.0	0.0	4.013429487383292	2.5611638069097444	0.0	0.0	0.0	1.0292116239272289	0.0	0.31750060035822947	0.0	0.0	0.31750060035822947	0.0	0.0	1.5084205097177334	0.0	1.9404394195875458	0.0	0.0	0.0	3.4478015147522836	3.061287870568527	0.7250312443261956	0.0	0.0	0.31750060035822947	0.0	0.0	1.779970478814926	2.7415484077296397	3.956924997608367	0.0	0.4989461154515954	0.0	0.7250312443261956	2.065474417851261	0.0	0.31750060035822947	0.983105217128229	0.0	1.0292116239272289	0.0
feces__J412	0.0	0.0	0.48746282533674257	0.0	1.0554345972120152	0.0	0.0	3.314703180092265	0.3088091684688092	0.3088091684688092	2.31854212537914	0.0	0.0	0.0	1.0554345972120152	0.0	0.0	2.9701294269717464	0.3088091684688092	0.0	0.0	0.3088091684688092	1.4772966917981554	0.0	1.8213646291397965	0.0	0.711350663239482	0.0	1.2933769060979248	0.7910401889446649	0.0	0.0	0.0	1.357154910576703	2.0527089288800413	0.0	1.9290504983796906	0.0	1.7053082205580583	1.2185934718420008	0.3088091684688092	0.711350663239482	0.0	3.4935498414662063	2.6676340480492855	0.0	0.0	0.0	0.3088091684688092	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6136771136226858	0.0	2.339632096251601	0.0	0.0	0.0	3.861694535782674	3.5750845542016205	0.0	0.0	0.0	0.0	0.0	0.0	2.1971653517036875	3.1330125867402216	3.724349026255877	0.0	0.0	0.0	0.3088091684688092	2.751790153565091	0.3088091684688092	0.0	1.160465932544999	0.0	1.0139037167434486	0.0
feces__J413	0.0	0.0	0.4796039648016065	0.0	0.7812524266843811	0.0	0.0	3.233142427641206	0.4796039648016065	0.30289335753109153	3.2042933565184666	0.0	0.0	0.0	1.1495822262144386	0.0	0.0	2.988692056214267	0.0	0.0	0.0	0.0	0.4796039648016065	0.6048520446117771	2.3421582705845583	0.4796039648016065	0.4796039648016065	0.0	0.7812524266843811	0.0	0.0	0.0	0.0	0.30289335753109153	1.1173771844350278	0.0	1.5834049043223701	0.0	1.2339498128918505	1.1795630927735679	0.0	0.0	0.0	3.1998925910401326	3.0298397930525702	0.0	0.0	0.0	0.30289335753109153	0.0	0.6048520446117771	1.0825913254935615	0.0	0.0	0.0	0.0	0.8482874967786888	0.0	2.2132109196463765	0.0	0.0	0.0	3.792452019567957	3.632821543373392	0.30289335753109153	0.30289335753109153	0.0	0.0	0.0	0.0	2.5020175614658866	3.054095221963968	3.5706264144931983	0.0	0.7019475578321195	0.0	0.0	3.4371671919234053	0.0	0.0	0.7812524266843811	0.9063456423296957	0.0	0.4796039648016065
feces__J414	0.0	0.0	0.0	0.0	0.32601371080238123	0.0	0.0	3.3323374927072895	0.0	0.639016483867341	1.972339518358532	0.0	0.0	0.510123382750607	0.819026426550865	0.0	0.0	3.0179746042040394	0.8870863761777588	0.510123382750607	0.639016483867341	0.0	1.347332596833328	0.0	1.9345011228125653	0.0	0.32601371080238123	0.639016483867341	2.0071437879380447	0.0	0.0	0.0	0.0	1.1589994774329793	1.9618607149679437	0.0	0.8870863761777588	0.0	1.9113004866506744	1.1239400631171053	0.639016483867341	0.32601371080238123	0.0	3.610531190147829	2.2469739717740955	0.0	0.0	0.0	0.32601371080238123	0.0	0.0	0.0	0.0	0.0	0.32601371080238123	0.0	1.1914388343882945	0.0	2.6717478212678905	0.0	0.0	0.0	3.6689413133870223	3.737996296874801	0.0	0.510123382750607	0.0	0.0	0.0	0.0	2.188153759136348	3.0348843531622465	3.7526636257009125	0.32601371080238123	0.32601371080238123	0.0	0.0	2.5682970758409973	0.0	0.0	0.819026426550865	0.0	0.32601371080238123	0.0
feces__J415	0.0	0.0	0.0	0.0	0.5345053233959269	0.0	0.0	3.477883518832642	0.34476311708711066	0.0	2.741306936886894	0.0	0.0	0.0	1.2241325859366419	0.0	0.0	3.500572806275519	0.8487702272802166	0.5345053233959269	0.34476311708711066	0.0	1.0291849865696654	0.0	1.5279001088327024	0.0	0.0	0.0	1.402050779102113	0.34476311708711066	0.0	0.0	0.0	1.1562694391535961	1.8224423554416567	0.0	0.9175752184392824	0.34476311708711066	2.2412973193068297	1.5120047588689471	0.5345053233959269	0.0	0.0	3.4293897628192114	2.9815429342871997	0.0	0.34476311708711066	0.34476311708711066	0.34476311708711066	0.0	1.075802036097504	0.34476311708711066	0.0	0.0	0.0	0.0	0.9769556174983939	0.0	2.679867275788451	0.0	0.0	0.0	3.6888564176463143	3.22234125033722	0.0	0.34476311708711066	0.0	0.0	0.0	0.0	2.44486002594975	3.189933891661724	3.7646878748580974	0.0	0.0	0.0	0.8487702272802166	2.606981521339909	0.34476311708711066	0.0	0.7669740692169675	0.0	0.7669740692169675	0.34476311708711066
feces__J416	0.0	0.0	0.0	0.0	0.9472206218151831	0.29709416306495745	0.0	3.0194494402610172	0.47186551140555466	0.29709416306495745	0.0	0.0	0.29709416306495745	0.0	0.0	0.29709416306495745	0.0	1.0719380845169995	0.47186551140555466	0.0	0.0	0.0	0.8961786940580873	0.29709416306495745	1.921605138499538	0.0	0.0	0.29709416306495745	1.6357263438392202	0.0	0.0	0.0	0.0	1.3146914724220882	1.732600097334384	0.0	0.5961427852964232	0.0	0.7715715726409109	1.2712657422889364	0.0	0.0	0.0	3.916837640980662	2.4972672548960655	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3541669974835158	0.0	2.112726721741104	0.0	0.0	0.0	3.5460988889671095	3.7871389891976976	0.47186551140555466	0.29709416306495745	0.0	0.0	0.0	0.0	1.8952820661833718	2.01335763279519	3.767485649694531	0.0	0.0	0.0	0.5961427852964232	2.220026261027997	0.0	0.0	0.6926554365540069	0.29709416306495745	0.29709416306495745	0.0
feces__J417	0.0	0.0	0.0	0.0	0.4432746130611149	0.0	0.0	3.2550674336285437	0.27589550630416565	0.0	0.4432746130611149	0.0	0.0	0.0	0.0	0.0	0.0	0.9085009501807696	0.0	0.0	0.4432746130611149	0.0	1.0982276714978603	0.0	1.7199702760047615	0.0	0.27589550630416565	0.6580255772952732	1.0982276714978603	0.27589550630416565	0.0	0.0	0.4432746130611149	0.27589550630416565	1.0663425403979507	0.0	0.9945534389171372	0.0	1.2730184778447808	1.3652713182435234	0.0	0.27589550630416565	0.0	3.3009721534903242	2.2203223267772887	0.0	0.0	0.0	0.4432746130611149	0.0	0.0	0.0	0.0	0.0	0.27589550630416565	0.0	1.2065056052697718	0.0	1.8002192783107995	0.0	0.0	0.0	3.5116826577363	4.066157666410505	0.0	0.0	0.0	0.0	0.27589550630416565	0.0	1.3652713182435234	2.52582389675206	3.7880494784033125	0.0	0.4432746130611149	0.0	0.27589550630416565	2.4439066564776875	0.0	0.0	0.8010758314653323	0.5637908460534016	0.0	0.0
feces__J418	0.0	0.0	0.0	0.0	0.8455817640400467	0.0	0.0	3.2373530648369453	0.0	0.30131223348497066	2.8141444146630477	0.0	0.0	0.0	1.30156609079503	0.0	0.0	2.6781700603419423	0.6024832793068251	0.0	0.0	0.0	1.146652045730136	0.0	2.260632581821412	0.30131223348497066	0.30131223348497066	0.4774975310690802	0.9547441388269683	0.30131223348497066	0.0	0.0	0.4774975310690802	1.146652045730136	1.5320266230110235	0.0	1.431907169853683	0.0	1.8926516651524263	1.3429613394116608	0.0	0.0	0.0	3.459503958219839	2.786604579627269	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.502989638970269	0.0	0.0	0.0	3.779510926494292	3.702822343568942	0.0	0.30131223348497066	0.0	0.0	0.30131223348497066	0.0	1.8394052101625809	3.027505390294502	3.782104167690136	0.30131223348497066	0.0	0.0	0.0	2.73695975989033	0.0	0.0	0.9035837828746108	0.0	0.30131223348497066	0.0
feces__J419	0.0	0.0	0.0	0.0	1.0318110484299508	0.0	0.0	3.3171302249972534	0.31898962319643853	0.0	3.1719018427109726	0.5009060889912768	0.0	0.0	1.3345418171692078	0.0	0.0	3.079323031713086	0.6287283884424708	0.0	0.0	0.0	1.2885956804034056	0.0	2.1421516557732594	0.0	0.31898962319643853	0.5009060889912768	1.677889392708393	0.5009060889912768	0.0	0.0	0.31898962319643853	1.4140058789703351	2.2308901655700013	0.0	0.9340481446490031	0.0	1.724711352969061	1.111559959215989	0.31898962319643853	0.0	0.0	3.485289039719284	3.0424936601850034	0.0	0.0	0.31898962319643853	0.7273593936706787	0.0	0.8076841907106823	0.31898962319643853	0.0	0.0	0.0	0.0	0.7273593936706787	0.31898962319643853	2.22811373010074	0.0	0.0	0.0	3.8722841898746934	3.119396790216702	0.0	0.5009060889912768	0.0	0.0	0.0	0.0	2.162058321089831	2.9811283643309916	3.724152501455539	0.0	0.8076841907106823	0.0	0.5009060889912768	3.0281666904652043	0.0	0.0	0.8076841907106823	0.0	1.0735134608789314	0.31898962319643853
feces__J420	0.0	0.0	0.505805200627339	0.0	1.0800546562998972	0.0	0.0	3.3038240863944974	0.3227186013696803	0.0	2.956110055883283	0.0	0.0	0.0	1.0382919032330449	0.0	0.0	2.8605099817574122	0.0	0.0	0.6341998024111507	0.0	1.0382919032330449	0.0	2.019644107015902	0.8816410773374346	0.3227186013696803	0.0	1.3189703028639896	0.0	0.0	0.0	0.3227186013696803	1.2953706390030844	1.986369356553828	0.0	1.4722122826737947	0.0	1.7575721651807226	1.3189703028639896	0.0	0.505805200627339	0.0	3.567637382563516	3.1152960473761167	0.0	0.0	0.0	0.7331702111880009	0.0	0.6341998024111507	0.0	0.0	0.505805200627339	0.0	0.0	0.8137196438172816	0.0	2.2434887080244503	0.0	0.0	0.0	3.692935287385978	3.589739429508754	0.0	0.3227186013696803	0.0	0.0	0.0	0.0	1.8742605857562475	3.058922123101608	3.80681349715139	0.0	0.0	0.0	0.0	2.2462131532307543	0.0	0.0	0.9920816787923068	0.0	1.4023154982170198	0.505805200627339
feces__J421	0.0	0.0	0.2761689898218229	0.0	1.1824037566365329	0.0	0.0	3.2381618305619604	0.2761689898218229	0.6584792795689866	0.8015653780614467	0.0	0.0	0.0	0.9090106301718448	0.0	0.0	1.7625170618973311	0.4436466043640064	0.0	0.0	0.0	0.9090106301718448	0.0	2.1994933313658254	0.4436466043640064	0.0	0.5642135948983498	1.3312389824980395	0.4436466043640064	0.0	0.0	0.4436466043640064	0.8015653780614467	2.0564025284379843	0.0	1.3488775832980975	0.0	2.1945894658347145	0.4436466043640064	0.0	0.9541718205108205	0.0	3.6197671535910425	2.391443980689354	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1562732237942401	0.0	2.0061495262474494	0.0	0.0	0.0	3.7352443191731575	3.8021086787657863	0.0	0.0	0.0	0.0	0.0	0.0	1.5184368241125812	2.3803330628248776	3.8405910469580813	0.2761689898218229	0.0	0.0	0.0	1.734988287628237	0.0	0.0	0.7358886526167693	0.0	0.0	0.0
feces__J422	0.0	0.0	0.0	0.0	0.49813241289198223	0.0	0.0	3.3222788293918817	0.0	0.0	2.41841406776145	0.3168828923507858	0.0	0.3168828923507858	0.8719302963470977	0.0	0.0	2.4843599358093194	0.49813241289198223	0.0	0.0	0.0	1.1427725620230857	0.0	1.7026053239403725	0.0	0.0	0.0	1.5743558726603952	0.0	0.0	0.0	0.49813241289198223	0.49813241289198223	1.66391634094119	0.0	1.9283939018109864	0.0	1.7864946664398444	1.2052302823468224	0.0	0.0	0.0	3.412430572636325	2.6097073395869086	0.0	0.0	0.0	0.3168828923507858	0.0	0.3168828923507858	0.3168828923507858	0.0	0.0	0.0	0.3168828923507858	1.6214406792121538	0.0	2.4219603502995195	0.0	0.0	0.0	3.862436754081015	3.8123950626294763	0.0	0.49813241289198223	0.0	0.0	0.0	0.0	2.207038276828822	2.7706650350743636	3.6398799617341524	0.0	0.49813241289198223	0.0	0.3168828923507858	2.833189289420181	0.0	0.0	1.0697990653248577	0.8719302963470977	0.0	0.0
feces__J423	0.0	0.0	0.0	0.0	1.3443680889085459	0.0	0.0	3.2334618996836957	0.45250336466007096	0.2826986338099296	0.45250336466007096	0.0	0.0	0.0	0.0	0.0	0.0	1.543341526236633	0.2826986338099296	0.0	0.45250336466007096	0.0	1.1114437019132128	0.0	1.3953400723892249	0.0	0.0	0.2826986338099296	1.7956133302701893	0.2826986338099296	0.0	0.0	0.0	0.7471544947050741	1.455151560504978	0.0	0.6692565391660822	0.0	1.3790052146463925	0.8131823210721766	0.0	1.0449595755068104	0.0	3.328782251035281	1.9406646425108507	0.0	0.0	0.0	0.5742643798559085	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6692565391660822	0.0	2.093152846720336	0.0	0.0	0.0	3.7985424562877976	3.903846393314263	0.0	0.2826986338099296	0.0	0.0	0.0	0.0	2.322535630879149	2.5004618024437657	3.8006911537389176	0.0	0.2826986338099296	0.2826986338099296	0.2826986338099296	2.629131602661688	0.0	0.0	0.870483767257832	0.0	0.2826986338099296	0.0
