#OTU ID	taxonomy	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
denovo56196	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0	0	0	0	0	2	0	0	0	0	0	0	0	1	1	0	0	0	3	0	1	0	0	2	5	0	3	2	0	2	0	0	0	0	0	1	0	0	0	0	0	1
denovo56251	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	0	0	0	0	0	0	2	0	6	0	0	0	4	5	0	0	2	0	0	0	0	3	0	0	0	0	6	1	0	1	0	0	1	0	3	0	4	0	1	0	0	0
denovo56293	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	5	0	3	0	0	1	0	0	1	3	0	0	0	0	0	4	2	0	1	0	2	6	0	4	2	1	0	0	0	0	0	0	2	2	2	0	3	0	2	4	0	2
denovo56301	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	3	2	0	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	2	1	0	0	2	0	1	0	2	0	0	0	0	0	1	2	0	6	0	4	0	0	2	1
denovo56327	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Prevotellaceae; g__Prevotella; s__copri	5	0	20	3	0	0	3	0	10	18	0	2	16	1	0	13	20	5	0	11	8	3	1	0	0	38	3	8	4	0	0	4	1	0	2	1	22	0	8	0	10	0
denovo56362	Unassigned	0	0	1	1	1	0	0	2	0	1	0	3	0	0	0	0	0	1	3	0	2	4	1	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	1	0	0	0
denovo56399	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__acidifaciens	31	37	4	45	58	34	33	13	19	27	9	37	46	35	46	20	57	40	28	40	26	29	37	22	45	50	32	31	73	29	65	86	22	71	16	32	40	47	22	30	40	63
denovo56461	Unassigned	3	0	0	0	1	0	2	2	2	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	4	0	0	1	1	2	0	2	0	0	0	0	0	0	3	1	0
denovo56498	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	0	2	0	0	0	0	0	1	1	4	2	0	0	0	0	0	0	1	2	0	0	1	0	2	0	0	0	0	2	1	1	0	0	1	0	0	0	0	0	0	1
denovo56524	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	2	5	9	30	3	7	5	2	5	1	1	3	0	47	3	1	0	0	15	4	1	9	0	0	37	0	1	2	2	7	56	6	11	4	0	22	1	22	2	0	29	1
denovo56557	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	0	0	1	1	0	1	5	0	0	2	0	0	0	0	0	1	0	2	1	0	2	3	0	0	1	1	1	0	0	0	0	0	2	2	0	0	0	0	3	3	0	0
denovo56581	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	0	2	0	5	0	0	0	0	0	0	0	3	0	2	0	0	0	1	0	0	2	0	0	0	0	0	1	4	6	1	1	1	0	0	4	1	0	0	0	0	0	2
denovo56585	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	7	6	2	6	3	3	3	3	11	8	6	4	4	6	8	2	6	2	13	4	6	3	6	4	9	6	5	12	2	4	2	1	3	11	3	5	2	11	1	0	7	4
denovo56599	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__	1	3	0	1	0	1	0	0	1	0	0	4	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	2	1	0	0	1	0	0	0	0	0	0	3	0
denovo56615	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	0	1	0	0	2	2	0	2	2	0	0	0	1	1	0	0	1	1	1	3	3	0	2	3	2	0	0	0	3	2	2	1	2	0	2	1	0	3	0	0	0	4
denovo56634	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Clostridiaceae; g__; s__	0	19	0	0	0	4	1	0	0	0	1	2	4	2	4	0	0	1	4	5	0	0	0	0	0	0	1	4	0	0	1	0	0	0	0	0	0	4	0	0	1	1
denovo56661	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	1	0	0	1	2	3	0	0	0	0	1	5	0	1	2	3	9	0	0	0	2	3	1	1	3	1	3	0	4	0	1	0	0	0	0	0	3	0	6	0	0	13
denovo56671	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__Rikenellaceae; g__; s__	0	0	1	0	0	0	2	0	3	0	0	0	2	2	0	0	0	0	0	2	1	2	2	1	0	0	1	0	0	0	0	0	1	0	2	0	0	0	0	2	0	0
denovo56679	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Lachnospiraceae; g__; s__	0	1	0	1	0	0	5	0	0	0	1	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	2	0	1	4	0	0
denovo56687	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__; g__; s__	0	0	0	2	1	0	2	1	0	0	0	0	2	2	0	1	0	1	0	0	1	0	0	1	0	0	0	0	0	0	2	0	2	2	0	0	2	0	0	0	0	0
denovo56742	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__Oscillospira; s__	0	0	6	0	0	3	0	3	4	2	0	0	1	2	0	0	0	0	2	0	1	0	1	0	0	2	0	0	0	0	0	2	0	5	0	0	0	1	0	0	0	0
denovo56749	k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Bacteroidales; f__S24-7; g__; s__	1	2	0	3	1	0	0	0	6	0	2	5	5	0	3	0	0	1	2	5	4	0	3	1	0	0	0	0	1	0	1	1	0	5	1	3	0	0	2	0	0	0
denovo56800	k__Bacteria; p__Firmicutes; c__Clostridia; o__Clostridiales; f__Ruminococcaceae; g__; s__	3	0	0	0	0	0	0	0	0	4	1	1	0	0	0	0	0	2	0	4	0	0	0	0	0	0	0	1	0	1	2	2	0	0	0	0	3	0	0	1	0	0
