Taxa	J401	J402	J403	J404	J405	J406	J407	J408	J409	J410	J411	J412	J413	J414	J415	J416	J417	J418	J419	J420	J421	J422	J423	J424	J425	J426	J427	J428	J429	J430	J431	J432	J433	J434	J435	J436	J437	J438	J439	J440	J441	J442
Lactobacillaceae	552.0	1849.0	195.0	381.0	220.0	687.0	338.0	437.0	180.0	415.0	372.0	474.0	1062.0	183.0	866.0	330.0	179.0	620.0	1044.0	1199.0	299.0	373.0	98.0	757.0	450.0	302.0	505.0	588.0	231.0	143.0	694.0	102.0	85.0	1258.0	413.0	281.0	647.0	527.0	254.0	209.0	763.0	623.0
Pseudomonadaceae	0.0	0.0	0.0	4.0	3.0	4.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.0	1.0	1.0	0.0	0.0	2.0	0.0	0.0	2.0	0.0	1.0	2.0	0.0	3.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	10.0	7.0	0.0	16.0	2.0	1.0	2.0	8.0
Alcaligenaceae	34.0	279.0	11.0	84.0	421.0	20.0	74.0	52.0	222.0	99.0	78.0	371.0	1949.0	217.0	213.0	112.0	217.0	376.0	716.0	103.0	27.0	436.0	285.0	406.0	759.0	149.0	304.0	621.0	298.0	716.0	33.0	406.0	45.0	94.0	420.0	403.0	758.0	834.0	163.0	59.0	742.0	484.0
Corynebacteriaceae	0.0	3.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	0.0	6.0	2.0	0.0	0.0	0.0	0.0	0.0	1.0	2.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	4.0	0.0	0.0	0.0	0.0	1.0	2.0
Micrococcaceae	0.0	0.0	4.0	0.0	0.0	0.0	0.0	15.0	1.0	0.0	1.0	0.0	1.0	0.0	4.0	0.0	0.0	0.0	3.0	2.0	0.0	1.0	0.0	1.0	4.0	0.0	1.0	2.0	0.0	0.0	0.0	1.0	0.0	1.0	4.0	3.0	3.0	3.0	0.0	0.0	0.0	1.0
Ruminococcaceae	6003.0	2926.0	5258.0	5349.0	5180.0	3706.0	5945.0	6206.0	3979.0	3494.0	5400.0	3273.0	2423.0	3279.0	3370.0	4141.0	5189.0	3936.0	3254.0	3798.0	5686.0	2717.0	4844.0	3584.0	4541.0	4693.0	3912.0	3466.0	2146.0	2546.0	2936.0	3877.0	6465.0	3486.0	4695.0	4513.0	3547.0	3529.0	4368.0	6274.0	4236.0	3146.0
[Mogibacteriaceae]	12.0	15.0	15.0	37.0	21.0	12.0	27.0	12.0	15.0	12.0	24.0	28.0	8.0	29.0	16.0	12.0	27.0	15.0	21.0	27.0	6.0	14.0	17.0	24.0	24.0	23.0	19.0	7.0	7.0	10.0	9.0	17.0	20.0	20.0	16.0	20.0	9.0	18.0	13.0	19.0	16.0	10.0
Enterobacteriaceae	63.0	6.0	0.0	79.0	30.0	182.0	1.0	10.0	38.0	1.0	8.0	47.0	18.0	5.0	3.0	3.0	5.0	13.0	6.0	12.0	13.0	49.0	0.0	67.0	3.0	5.0	32.0	6.0	79.0	0.0	2.0	2.0	0.0	14.0	52.0	44.0	12.0	2.0	93.0	0.0	529.0	23.0
Verrucomicrobiaceae	3.0	0.0	0.0	0.0	0.0	3.0	0.0	0.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	1.0	3.0	0.0	0.0	0.0	0.0	5.0	0.0	0.0	0.0	0.0	4.0	0.0	0.0	5.0	3.0	0.0	0.0	1.0	3.0	1.0	0.0	0.0	0.0	0.0	0.0	1.0
Anaeroplasmataceae	3.0	20.0	1.0	3.0	0.0	13.0	21.0	4.0	7.0	5.0	36.0	5.0	5.0	1.0	2.0	8.0	2.0	4.0	7.0	7.0	11.0	2.0	21.0	1.0	6.0	4.0	18.0	1.0	4.0	1.0	0.0	3.0	3.0	13.0	0.0	2.0	1.0	3.0	15.0	2.0	2.0	24.0
Christensenellaceae	12.0	68.0	12.0	4.0	30.0	36.0	7.0	18.0	25.0	6.0	16.0	78.0	7.0	30.0	30.0	9.0	68.0	43.0	3.0	32.0	7.0	19.0	37.0	19.0	3.0	23.0	6.0	22.0	16.0	33.0	8.0	15.0	8.0	11.0	89.0	8.0	14.0	14.0	9.0	3.0	49.0	10.0
